,id,created_at,text,rt_count,fav_count,english
0,1447563487299837952,2021-10-11 14:03:24+00:00,ようこそ黒原拓未投手！ 今、広島カープは左腕投手が充実しつつあります。 黒原投手には即戦力として、カープ投手王国の一翼を担っていただければと大きく期待を寄せております。 がんばれカープ！ https://t.co/RG613cPtX9,2671,9462,"Welcome Kuroharu Takuzo! Now, Hiroshima Carp has a fulfillment of the left arm. The Kurobe pitcher has a great expectation if you can play a one of the Carp pitcher kingdom as an immediate strength power. Good luck! https://t.co/RG613CPTX9 "
1,1447494934655819783,2021-10-11 09:31:00+00:00,本日11日(月) 22:00から、ワールドビジネスサテライトに生出演します。  「成長か分配か」ではなく「成長も分配も」が私の基本スタンスです。詳しくは番組でお伝えしますので、ぜひご覧ください。 https://t.co/jfr79aPTV2,755,4134,"From 11th Today (Mon) 22:00, I will appear in World Business Satellite. ""Growth or distribution"" is not ""Growth and distribution"" is my basic stance. Please see by the show, so please take a look. https://t.co/jfr79aptv2 "
2,1447173424434991104,2021-10-10 12:13:26+00:00,今は新規感染者数が幸い抑えられており、国民の皆さまのご協力に感謝申し上げます。しかし、楽観視することなく最悪の事態を想定し、備えを進めなければなりません。本日説明していただいた新型コロナの経口治療薬、飲み薬は大きな決め手になり得ると考えています。しっかりと対応を続けてまいります。 https://t.co/gxF4HoyKgp,1260,9324,"Now the number of new new infected people is suppressed and thank you for your cooperation of the people. However, we must prepare for the worst situation without optimistic. We believe that new corona oral therapeutic agents and medicines that we have explained today can be a big decision. We will continue to respond firmly. https://t.co/gxf4hoykgp "
3,1446831312137039876,2021-10-09 13:34:00+00:00,テレビ生出演のお知らせ 明日10日(日) 7:30〜日曜報道 THE PRIME @THEPRIME_CX 「岸田首相が就任後初テレビ生出演！橋下徹と激論」に生出演します。  今後のコロナ対策、経済政策、外交政策について、私の考えを丁寧にお伝えしていければと思います。  ぜひご覧ください。 https://t.co/wGY0estFT1,461,2829,"Notice of TV-produced Performance 10th (Sun) 7: 30-Sunday Press THE Prime @theprime_cx ""Kishida Prime Minister Joining First TV New Year's Eve! I think I would like to carefully tell my thoughts on Corona, economic policies, and diplomatic policy. Please take a look. https://t.co/WGY0ESTFT1 "
4,1446808092683878402,2021-10-09 12:01:44+00:00,コロナの重症者を受け入れている墨東病院への視察では、所信表明でお約束した #車座対話 も行いました。現場で働くお一人おひとりから声をお聞きし、受け止めた想いを形にしてまいります。 今後もできるだけ多く、様々な分野の現場に足を運び、車座対話を通して皆さまの声を政治に反映していきます。 https://t.co/lkPCbAL3EL,537,4124,"In the inspection of the Corona's severity, the inspection to the Kotobu Hospital, also promised with the organization. We will ask you to hear the voice from one person who works in the field and you have received the thought. In the future, we will carry your feet as many as possible, carry foot on the field of various fields, and reflect your voice in politics through the car seat interaction. https://t.co/lkpcbal3el "
5,1446613375786569730,2021-10-08 23:08:00+00:00,明けない夜はありません。 国民の皆さんと共に手を取り合い、明日への一歩を踏み出します。一人ではなく仲間となら遥か遠くまで行くことができます。私は、みんなで前に進んで行くためのワンチームを創りあげます！ #チーム岸田 https://t.co/F9iZwnZ7rD,1141,9607,"There is no no night. Combine your hand with the people's people and take a step on tomorrow. If you are not alone, you can go far away. I will create one team to go ahead and go ahead! # Team Kishida https://t.co/F9IZWNZ7RD "
6,1446489486272053252,2021-10-08 14:55:42+00:00,昨晩の地震発生から1日が経ちました。夜を徹して状況確認、インフラ復旧、救助活動などに従事してくださった皆さま、帰宅困難の解消に向けご協力いただいた鉄道路線各社、タクシー事業者の皆さまに心から感謝申し上げます。  ・千葉県北西部を震源とする地震についてhttps://t.co/PxwHUVT5xv,726,5078,"One day has passed since the earthquake occurred last night. Thank you very much for your continued patronage and taxi businesses, who helped to work on the night, infrastructure, rescue activities, etc., and to everyone who cooperated to eliminate the difficulty of returning home. · About earthquakes with the northwestern part of Chiba Prefecture https://t.co/pxwhuvt5xv "
7,1446480622373859330,2021-10-08 14:20:29+00:00,"Thank you, PM Morawiecki @MorawieckiM for your kind words. I look forward to working with you in strengthening our bilateral relations and to realize a “Free and Open Indo-Pacific” as we further deepen our Japan-Poland Strategic Partnership. https://t.co/uEOQy1Obqi",115,846,"Thank you, PM Morawiecki @MorawieckiM for your kind words. I look forward to working with you in strengthening our bilateral relations and to realize a “Free and Open Indo-Pacific” as we further deepen our Japan-Poland Strategic Partnership. https://t.co/uEOQy1Obqi "
8,1446480374117244935,2021-10-08 14:19:30+00:00,"Expreso mi más sincero agradecimiento por el cordial mensaje del Señor Presidente, @luisabinader. Quisiera seguir manteniendo una estrecha colaboración con usted en aras de fortalecer aún más los lazos de amistad entre Japón y la República Dominicana. https://t.co/mKwcaqCt2K",105,677,"I express my sincere gratitude for the cordial message of Mr. President, @Luisabinader. I would like to continue maintaining a close collaboration with you for the sake of further strengthening the bonds of friendship between Japan and the Dominican Republic. https://t.co/mkwcaqct2k. "
9,1446480050065268736,2021-10-08 14:18:12+00:00,"Let me convey my heartfelt gratitude to you. Japan is looking forward to collaborating with @UNDP on issues such as COVID-19, TICAD, and human security. https://t.co/JNRB10GR0X",100,614,"Let me convey my heartfelt gratitude to you. Japan is looking forward to collaborating with @UNDP on issues such as COVID-19, TICAD, and human security. https://t.co/JNRB10GR0X "
