id,created_at,text,rt_count,fav_count
1447558977307484163,2021-10-11 13:45:29+00:00,"Happy Thanksgiving! As we spend time with our loved ones today, let’s give thanks to those on the front lines who have gone above and beyond over the past year. And to everyone who has stepped up and helped others: thank you, too - we’re so grateful. https://t.co/xfMZFYyGIW",235,1592
1447558872936456198,2021-10-11 13:45:04+00:00,"Joyeuse Action de grâce! Alors que nous passons du temps avec nos proches aujourd’hui, remercions les travailleurs de première ligne qui se sont surpassés au cours de la dernière année. Et à tous ceux qui sont venus en aide aux autres : merci à vous aussi. https://t.co/bHC7QdNnpB",37,216
1447542015810539520,2021-10-11 12:38:05+00:00,"I’m thinking about Ella-Grace today, and about her future. I’m thinking about the future of girls across the country and around the world, too. And I’m thinking about the work we must do to make sure they get the support and opportunities they need - and deserve. #DayOfTheGirl https://t.co/FUEqm7p8sk",655,6988
1447541954154319878,2021-10-11 12:37:50+00:00,"Je pense à Ella-Grace, aujourd’hui, et à son avenir. Je pense à l’avenir des filles de notre pays et du reste du monde aussi. Et je pense au travail qu’on doit accomplir pour qu’elles aient l’appui et les possibilités dont elles ont besoin et qu’elles méritent. #JourneeDeLaFille https://t.co/vJk7MQQuiG",67,587
1447186726028550147,2021-10-10 13:06:17+00:00,"It’s okay to not be okay. And it’s okay to feel anxious, stressed, or overwhelmed. But you are not alone, know that. And know that we’ll keep working - today and every day - to make sure you can get the care and support you need. #WorldMentalHealthDay https://t.co/QN5ho2ixv4",815,4021
1447186688514695169,2021-10-10 13:06:08+00:00,"Si vous n’allez pas bien ou que vous vous sentez anxieux, stressé ou dépassé, c’est correct. Sachez que vous n’êtes pas seul. Nous allons toujours nous efforcer de vous fournir les soins et le soutien dont vous avez besoin. #JournéeMondialeDeLaSantéMentale https://t.co/2GshXONckY",69,304
1446894001722904576,2021-10-09 17:43:06+00:00,"Thanksgiving is about more than just giving thanks. It’s about giving back, too. And this morning in Orléans, I joined Carmen and others as they did exactly that. To everyone who helped put together these hampers for the Rahimis and other resettled Afghan families, thank you. https://t.co/Y32mlLpkJh",677,5409
1446893972329312257,2021-10-09 17:42:59+00:00,"L’Action de grâce est une occasion d’exprimer sa gratitude et de redonner à sa communauté. Ce matin à Orléans, Carmen et d’autres gens faisaient exactement cela. Merci à tous ceux qui ont aidé à préparer des paniers pour les Rahimis et les autres familles afghanes réinstallées. https://t.co/i0aOzIQk4K",73,637
1446625528488861696,2021-10-08 23:56:17+00:00,"It was great to spend some time with them, portaging down Wellington, earlier today. What they’re doing is inspiring, and it’s going to mean a lot to so many people across the country. https://t.co/SgXAbVOLad",206,1549
1446625500978466821,2021-10-08 23:56:11+00:00,J’ai été ravi de passer un peu de temps avec eux plus tôt aujourd’hui quand nous avons fait du portage sur Wellington. Leurs efforts sont inspirants et importeront beaucoup pour bien des gens à l’échelle du pays. https://t.co/SgXAbVOLad,35,329
