id,created_at,text,rt_count,fav_count
1447563487299837952,2021-10-11 14:03:24+00:00,ようこそ黒原拓未投手！ 今、広島カープは左腕投手が充実しつつあります。 黒原投手には即戦力として、カープ投手王国の一翼を担っていただければと大きく期待を寄せております。 がんばれカープ！ https://t.co/RG613cPtX9,2671,9462
1447494934655819783,2021-10-11 09:31:00+00:00,本日11日(月) 22:00から、ワールドビジネスサテライトに生出演します。  「成長か分配か」ではなく「成長も分配も」が私の基本スタンスです。詳しくは番組でお伝えしますので、ぜひご覧ください。 https://t.co/jfr79aPTV2,755,4134
1447173424434991104,2021-10-10 12:13:26+00:00,今は新規感染者数が幸い抑えられており、国民の皆さまのご協力に感謝申し上げます。しかし、楽観視することなく最悪の事態を想定し、備えを進めなければなりません。本日説明していただいた新型コロナの経口治療薬、飲み薬は大きな決め手になり得ると考えています。しっかりと対応を続けてまいります。 https://t.co/gxF4HoyKgp,1260,9324
1446831312137039876,2021-10-09 13:34:00+00:00,📺テレビ生出演のお知らせ📺 明日10日(日) 7:30〜日曜報道 THE PRIME @THEPRIME_CX 「岸田首相が就任後初テレビ生出演！橋下徹と激論」に生出演します。  今後のコロナ対策、経済政策、外交政策について、私の考えを丁寧にお伝えしていければと思います。  ぜひご覧ください。 https://t.co/wGY0estFT1,461,2829
1446808092683878402,2021-10-09 12:01:44+00:00,コロナの重症者を受け入れている墨東病院への視察では、所信表明でお約束した #車座対話 も行いました。現場で働くお一人おひとりから声をお聞きし、受け止めた想いを形にしてまいります。 今後もできるだけ多く、様々な分野の現場に足を運び、車座対話を通して皆さまの声を政治に反映していきます。 https://t.co/lkPCbAL3EL,537,4124
1446613375786569730,2021-10-08 23:08:00+00:00,明けない夜はありません。 国民の皆さんと共に手を取り合い、明日への一歩を踏み出します。一人ではなく仲間となら遥か遠くまで行くことができます。私は、みんなで前に進んで行くためのワンチームを創りあげます！ #チーム岸田 https://t.co/F9iZwnZ7rD,1141,9607
1446489486272053252,2021-10-08 14:55:42+00:00,昨晩の地震発生から1日が経ちました。夜を徹して状況確認、インフラ復旧、救助活動などに従事してくださった皆さま、帰宅困難の解消に向けご協力いただいた鉄道路線各社、タクシー事業者の皆さまに心から感謝申し上げます。  ・千葉県北西部を震源とする地震についてhttps://t.co/PxwHUVT5xv,726,5078
1446480622373859330,2021-10-08 14:20:29+00:00,"Thank you, PM Morawiecki @MorawieckiM for your kind words. I look forward to working with you in strengthening our bilateral relations and to realize a “Free and Open Indo-Pacific” as we further deepen our Japan-Poland Strategic Partnership. https://t.co/uEOQy1Obqi",115,846
1446480374117244935,2021-10-08 14:19:30+00:00,"Expreso mi más sincero agradecimiento por el cordial mensaje del Señor Presidente, @luisabinader. Quisiera seguir manteniendo una estrecha colaboración con usted en aras de fortalecer aún más los lazos de amistad entre Japón y la República Dominicana. https://t.co/mKwcaqCt2K",105,677
1446480050065268736,2021-10-08 14:18:12+00:00,"Let me convey my heartfelt gratitude to you. Japan is looking forward to collaborating with @UNDP on issues such as COVID-19, TICAD, and human security. https://t.co/JNRB10GR0X",100,614
1446479482253049860,2021-10-08 14:15:57+00:00,Thank you so much @SherBDeuba for your warm congratulations. Look forward to working together with you to further develop our traditional ties of friendship between Japan and Nepal.🇯🇵🇳🇵 https://t.co/L13p0sXF3L,98,701
1446478872426409984,2021-10-08 14:13:32+00:00,Warm thanks to PM Morrison of Australia. Had a great discussion during video meeting on October 5. Look forward to working together with ScoMo to further deepen our Special Strategic Partnership and to promote a “Free and Open Indo-Pacific”. https://t.co/yuHf4vKumK,119,797
1446478443151904770,2021-10-08 14:11:49+00:00,"Thank you, @DrTedros for your message.🇯🇵 will continue to work closely with @WHO to respond to COVID-19 and to achieve #UHC. I look forward to working closely with you and @WHO in addressing global health issues. https://t.co/bszQpK25Mq",127,717
1446478089538576389,2021-10-08 14:10:25+00:00,"Expreso mi más sincero agradecimiento por el cordial mensaje del Señor Presidente, @IvanDuque. De aquí en adelante, quisiera mantener una estrecha colaboración con usted en aras de fortalecer aún más los lazos de amistad entre Japón y Colombia. https://t.co/O0ogtuYuSs",142,810
1446477769529966595,2021-10-08 14:09:09+00:00,"Thank you, President @ZelenskyyUa, for your kind message on my appointment. Japan will continue to develop our bilateral relations with Ukraine as we look forward to the 30th anniversary of our diplomatic relations next year, while also supporting Ukraine’s reform efforts. https://t.co/zIHvACFyfg",111,687
1446476913325658114,2021-10-08 14:05:45+00:00,Thank you @JustinTrudeau. Japan and Canada are important partners in the Indo-Pacific region. I look forward to working together with you to further promote cooperation between our two counties. https://t.co/RnwvMVWhcX,124,842
1446476032848982017,2021-10-08 14:02:15+00:00,"Thank you for your heartwarming message, PM @IngridaSimonyte.  I look forward to working closely together with you in addressing our shared global challenges and further deepening our bilateral relations on the occasion of the 100th anniversary of our friendship next year. https://t.co/984kxzEUVI",105,646
1446475534909595652,2021-10-08 14:00:16+00:00,"Thank you for your warm message, President Joko Widodo @jokowi. I look forward to working closely together with you to further enhance our strategic partnership between Japan and Indonesia. https://t.co/atX1Fultdd",93,579
1446475201546383360,2021-10-08 13:58:56+00:00,ジョンソン首相@BorisJohnson、祝意ツイートありがとうございます。英国はグローバルな戦略的パートナーであり、かつて外相同士緊密に連携したボリスと、日英関係を一層強化すべく共に取り組んでいくことを楽しみにしています。 https://t.co/3sjAPuT9Gg,273,1804
1446475080402309123,2021-10-08 13:58:28+00:00,"Thank you, Prime Minister Johnson @BorisJohnson, for your congratulatory tweet. The UK is our global strategic partner and I look forward to working closely together with you, like we did as Foreign Minister/Secretary, to further strengthen the Japan-UK relationship. https://t.co/7hBmWXOS3t",114,715
1446474541576847360,2021-10-08 13:56:19+00:00,"Thank you, Prime Minister Kurti @albinkurti, for your kind message on my appointment. Japan will continue to support Kosovo’s reform efforts toward European integration under the Western Balkans Cooperation Initiative. https://t.co/HjfPaYUd9w",129,741
1446474108737179653,2021-10-08 13:54:36+00:00,私の内閣総理大臣就任に当たり、御丁寧な祝辞を頂き、心から感謝申し上げます。本日、電話会談でお話しでき、嬉しく思います。 https://t.co/c8Cz9RhXWN,303,2113
1446473817346351104,2021-10-08 13:53:26+00:00,"Thank you so much, H.E. Mr. Narendra Modi, PM of India @narendramodi, for your warm congratulations. Delighted to talk with you today. https://t.co/UfSb7rpTGD",195,1101
1446472910718177283,2021-10-08 13:49:50+00:00,"Thank you, President @vonderleyen, for your warm congratulations. Japan-EU relations have now become closer than ever before, and our strategic partnership is invaluable. I look forward to working together with you as we tackle key challenges such as climate change and COVID19. https://t.co/1WAvD2Eeh4",118,705
1446464894241370115,2021-10-08 13:17:59+00:00,"H.E. PM @naftalibennett, I really appreciate your warm congratulations. I look forward to working together with you to further develop Japan-Israel relations. Toda rava! https://t.co/tyrOhevtwb",137,872
