id,created_at,text,rt_count,fav_count,english
1445255177179598849,2021-10-05 05:11:00+00:00,"Warm congrats Japanese PM Kishida. Great to chat about our Special Strategic Partnership and efforts for a secure, prosperous Indo-Pacific. We'll strengthen defence, security &amp; economic ties, incl on secure supply chains, clean energy &amp; working with partners such as in the Quad.",179,1259,"Warm congrats Japanese PM Kishida. Great to chat about our Special Strategic Partnership and efforts for a secure, prosperous Indo-Pacific. We'll strengthen defence, security &amp; economic ties, incl on secure supply chains, clean energy &amp; working with partners such as in the Quad. "
1443475285794443264,2021-09-30 07:18:21+00:00,"Great to meet with Australian Indian media today to update them on initiatives discussed with PM @narendramodi last week, such as deepening our trade and investment ties, our commitment to an open, secure and resilient Indo-Pacific and critical and emerging technologies. https://t.co/UEYE6xfAO6",274,2052,"Great to meet with Australian Indian media today to update them on initiatives discussed with PM @narendramodi last week, such as deepening our trade and investment ties, our commitment to an open, secure and resilient Indo-Pacific and critical and emerging technologies. https://t.co/UEYE6xfAO6 "
1441704159720337410,2021-09-25 10:00:31+00:00,"Great to meet my good friend Japanese PM @sugawitter prior to the Quad Leaders’ Meeting. An excellent discussion on further strengthening ties, doing more with our ASEAN friends, and practical outcomes for a free and open Indo-Pacific. https://t.co/ewJFAiaEWo",169,1270,"Great to meet my good friend Japanese PM @sugawitter prior to the Quad Leaders’ Meeting. An excellent discussion on further strengthening ties, doing more with our ASEAN friends, and practical outcomes for a free and open Indo-Pacific. https://t.co/ewJFAiaEWo "
1441537568097517573,2021-09-24 22:58:33+00:00,"Excellent discussions at our first in-person Quad leaders’ meeting in the US. Honoured to meet with PM @sugawitter, PM @narendramodi &amp; @POTUS on our shared vision of a free, open &amp; resilient Indo-Pacific region &amp; responding to the challenges we face in a complex &amp; changing world. https://t.co/iLzhEnH2fn",2284,18870,"Excellent discussions at our first in-person Quad leaders’ meeting in the US. Honoured to meet with PM @sugawitter, PM @narendramodi &amp; @POTUS on our shared vision of a free, open &amp; resilient Indo-Pacific region &amp; responding to the challenges we face in a complex &amp; changing world. https://t.co/iLzhEnH2fn "
1441224250577154053,2021-09-24 02:13:32+00:00,50% of all Australians aged 16+ are now fully vaccinated and nearly 75% have had their first jab.  Great stuff! Let’s keep going! We’re so close to hitting the targets in our National Plan so we can safely reopen &amp; get back to doing more of the things we love to do.  #COVID19Aus https://t.co/vSQcvKKA9Q,147,1196,50% of all Australians aged 16+ are now fully vaccinated and nearly 75% have had their first jab.  Great stuff! Let’s keep going! We’re so close to hitting the targets in our National Plan so we can safely reopen &amp; get back to doing more of the things we love to do.  #COVID19Aus https://t.co/vSQcvKKA9Q 
1441160214992982019,2021-09-23 21:59:05+00:00,"Great to meet with my good friend and a great friend of Australia, Indian PM @narendramodi, during my visit to the US. A wide-ranging and productive discussion ahead of the first in-person Quad meeting as we look to further deepen the partnership between our two countries. https://t.co/XZutkNw3t7",954,6557,"Great to meet with my good friend and a great friend of Australia, Indian PM @narendramodi, during my visit to the US. A wide-ranging and productive discussion ahead of the first in-person Quad meeting as we look to further deepen the partnership between our two countries. https://t.co/XZutkNw3t7 "
1440870510968000514,2021-09-23 02:47:54+00:00,"Great to catch up with you too, @BorisJohnson, and discuss taking forward our new #AUKUS partnership and our shared interests in a free, open and resilient Indo-Pacific. The UK and Australia are the best of friends and allies. We deeply appreciate our recent vaccine swap deal. https://t.co/UOkOZhzXJL",187,1650,"Great to catch up with you too, @BorisJohnson, and discuss taking forward our new #AUKUS partnership and our shared interests in a free, open and resilient Indo-Pacific. The UK and Australia are the best of friends and allies. We deeply appreciate our recent vaccine swap deal. https://t.co/UOkOZhzXJL "
1440866719229091843,2021-09-23 02:32:50+00:00,"Thank you for the warm welcome, @SpeakerPelosi. Great to be able to discuss our new #AUKUS partnership and progressing that forward across all levels of government. https://t.co/lITlvnuEBx",72,612,"Thank you for the warm welcome, @SpeakerPelosi. Great to be able to discuss our new #AUKUS partnership and progressing that forward across all levels of government. https://t.co/lITlvnuEBx "
1440866183515832325,2021-09-23 02:30:42+00:00,"A pleasure to meet with you too, @SecDef and discuss #AUKUS and how it signals a new era in the great partnership and friendship between our two countries. https://t.co/TYrotH4gdl",53,365,"A pleasure to meet with you too, @SecDef and discuss #AUKUS and how it signals a new era in the great partnership and friendship between our two countries. https://t.co/TYrotH4gdl "
1440444599869140997,2021-09-21 22:35:29+00:00,"Today I met US President Joe Biden in New York to mark 70 years of our ANZUS alliance and reaffirm our AUKUS partnership announced last week with the UK. We’re committed to working together to secure a free, open and resilient Indo-Pacific and tackle shared challenges. https://t.co/SFi20kjcqh",171,1605,"Today I met US President Joe Biden in New York to mark 70 years of our ANZUS alliance and reaffirm our AUKUS partnership announced last week with the UK. We’re committed to working together to secure a free, open and resilient Indo-Pacific and tackle shared challenges. https://t.co/SFi20kjcqh "
1438270795843715072,2021-09-15 22:37:34+00:00,"Today, Australia begins an enhanced trilateral security partnership with the UK and the US to enable deeper cooperation on security and defence capabilities. This is an historic opportunity for our countries to strengthen our nations’ security in uncertain times. #AUKUS",544,2807,"Today, Australia begins an enhanced trilateral security partnership with the UK and the US to enable deeper cooperation on security and defence capabilities. This is an historic opportunity for our countries to strengthen our nations’ security in uncertain times. #AUKUS "
1437703420786343936,2021-09-14 09:03:01+00:00,"14 million Australians have now had their first COVID jab, that’s over 68% of those aged over 16, and nearly 9 million are fully vaccinated.  Let’s keep getting this done and hit the National Plan targets so we can safely reopen and get back to doing the things we love to do. https://t.co/ExRflvdRz0",126,1076,"14 million Australians have now had their first COVID jab, that’s over 68% of those aged over 16, and nearly 9 million are fully vaccinated.  Let’s keep getting this done and hit the National Plan targets so we can safely reopen and get back to doing the things we love to do. https://t.co/ExRflvdRz0 "
1436888529473196038,2021-09-12 03:04:56+00:00,"A family sized dose of hope as Australia secures 1 million more Moderna doses to bolster our vaccine program.  The extra doses, along with the first shipment of the already contracted doses, will arrive in Australia within the next week. Read more ➡️ https://t.co/O2fmuHiIhT https://t.co/Nk0hkpx8Av",101,816,"A family sized dose of hope as Australia secures 1 million more Moderna doses to bolster our vaccine program.  The extra doses, along with the first shipment of the already contracted doses, will arrive in Australia within the next week. Read more ➡️ https://t.co/O2fmuHiIhT https://t.co/Nk0hkpx8Av "
1434748432111923212,2021-09-06 05:20:57+00:00,"Wishing the Australian Jewish community marking Rosh Hashanah a Happy New Year.   I know your celebrations will again be subdued due to COVID.   Though challenges still lie ahead, I hope this New Year brings a renewed spirit of hope and faith.   L’shanah tovah tikatev v’taihatem.",101,841,"Wishing the Australian Jewish community marking Rosh Hashanah a Happy New Year.   I know your celebrations will again be subdued due to COVID.   Though challenges still lie ahead, I hope this New Year brings a renewed spirit of hope and faith.   L’shanah tovah tikatev v’taihatem. "
1434697517828956161,2021-09-06 01:58:38+00:00,Thank goodness. What a relief. I can’t imagine how traumatic this experience has been for AJ and his parents. Glad to hear he’s safe. Thanks to all at @nswpolice and our paramedics. https://t.co/pIL91J27Cc,72,808,Thank goodness. What a relief. I can’t imagine how traumatic this experience has been for AJ and his parents. Glad to hear he’s safe. Thanks to all at @nswpolice and our paramedics. https://t.co/pIL91J27Cc 
1434006592869986310,2021-09-04 04:13:08+00:00,"Simply the best! Huge congratulations to @DylanAlcott on winning gold!  A true Australian sporting legend! And an all round great guy. Australia couldn’t be prouder.   One more to go for the golden slam, which has only ever been won once before in history! Bring on the US Open! https://t.co/9EYgMB8ATz",46,508,"Simply the best! Huge congratulations to @DylanAlcott on winning gold!  A true Australian sporting legend! And an all round great guy. Australia couldn’t be prouder.   One more to go for the golden slam, which has only ever been won once before in history! Bring on the US Open! https://t.co/9EYgMB8ATz "
1433694183320027145,2021-09-03 07:31:44+00:00,Australia condemns the horrific terrorist attack in Auckland. Our thoughts are with all those affected. We stand with our Kiwi family in deploring all such violent acts designed to create fear and divide us. Kia kaha New Zealand.,180,1535,Australia condemns the horrific terrorist attack in Auckland. Our thoughts are with all those affected. We stand with our Kiwi family in deploring all such violent acts designed to create fear and divide us. Kia kaha New Zealand. 
1433627718789124097,2021-09-03 03:07:38+00:00,4 million extra Pfizer vaccine doses will begin arriving in Australia in days after we secured a swap deal with the UK.  This means millions of Australians will now be able to roll up their sleeves and get vaccinated sooner as we follow our National Plan to safely reopen. https://t.co/KWkHSh1I9k,160,1391,4 million extra Pfizer vaccine doses will begin arriving in Australia in days after we secured a swap deal with the UK.  This means millions of Australians will now be able to roll up their sleeves and get vaccinated sooner as we follow our National Plan to safely reopen. https://t.co/KWkHSh1I9k 
1433587450341855233,2021-09-03 00:27:37+00:00,"A warm chat with @POTUS today to mark our ANZUS anniversary, discuss next steps on Afghanistan and our partnership in the Indo-Pacific. I conveyed our sympathies for the impact of Hurricane Ida and the New York floods. https://t.co/HzLRlDVwFU",60,434,"A warm chat with @POTUS today to mark our ANZUS anniversary, discuss next steps on Afghanistan and our partnership in the Indo-Pacific. I conveyed our sympathies for the impact of Hurricane Ida and the New York floods. https://t.co/HzLRlDVwFU "
1433401607824166922,2021-09-02 12:09:09+00:00,Our @AUSParalympics athletes are amazing. Thank you for inspiring us and for everything you have achieved. Australia is so proud! https://t.co/OVzRGvFHSu,43,432,Our @AUSParalympics athletes are amazing. Thank you for inspiring us and for everything you have achieved. Australia is so proud! https://t.co/OVzRGvFHSu 
1433357539177943043,2021-09-02 09:14:02+00:00,"20 million jabs! More than 60% of Australians aged 16+, or 3 in every 5 people, have now had their first vaccination.  Great job, Australia! Let’s keep it up, get the jab and stick to the National Plan.  #COVID19Aus https://t.co/oZaWoK41xk",110,863,"20 million jabs! More than 60% of Australians aged 16+, or 3 in every 5 people, have now had their first vaccination.  Great job, Australia! Let’s keep it up, get the jab and stick to the National Plan.  #COVID19Aus https://t.co/oZaWoK41xk "
1432906629863804934,2021-09-01 03:22:17+00:00,Australia’s economy remains resilient to the impact of #COVID19. Our capacity to recover quickly once lockdowns lift has been clearly demonstrated.   That’s why we need to stick to the National Plan to ensure we come out the other side of the current lockdowns with confidence. https://t.co/YQWQXctia6,129,771,Australia’s economy remains resilient to the impact of #COVID19. Our capacity to recover quickly once lockdowns lift has been clearly demonstrated.   That’s why we need to stick to the National Plan to ensure we come out the other side of the current lockdowns with confidence. https://t.co/YQWQXctia6 
1432620887589601280,2021-08-31 08:26:51+00:00,"Over 12 million Australians, or 58.7% of those aged 16+, have now had their first COVID jab.  That’s up by 2 million Australians in just two weeks.   Thank you to each and every one of you.  Keep going Australia!  #COVID19Aus https://t.co/bBABsLBWq8",75,740,"Over 12 million Australians, or 58.7% of those aged 16+, have now had their first COVID jab.  That’s up by 2 million Australians in just two weeks.   Thank you to each and every one of you.  Keep going Australia!  #COVID19Aus https://t.co/bBABsLBWq8 "
1432582135102070787,2021-08-31 05:52:51+00:00,"An extra 500,000 Pfizer vaccine doses will soon land in Australia after we secured a deal with Singapore.   They will be distributed next week to states &amp; territories on an equal population basis.  Our Government continues to leave no stone unturned to boost our vaccine program. https://t.co/JIaRD2vzxP",94,1029,"An extra 500,000 Pfizer vaccine doses will soon land in Australia after we secured a deal with Singapore.   They will be distributed next week to states &amp; territories on an equal population basis.  Our Government continues to leave no stone unturned to boost our vaccine program. https://t.co/JIaRD2vzxP "
1432293233233575938,2021-08-30 10:44:52+00:00,"I am devastated at the news two of our brave, serving ADF personnel lost their lives today when their army vehicle rolled over near Townsville.  Wherever the sacrifice of our brave men and women of our ADF occurs, it is a great price for them to pay, all in equal measure.",65,787,"I am devastated at the news two of our brave, serving ADF personnel lost their lives today when their army vehicle rolled over near Townsville.  Wherever the sacrifice of our brave men and women of our ADF occurs, it is a great price for them to pay, all in equal measure. "
1432222220093308929,2021-08-30 06:02:41+00:00,"Deeply saddened to hear of the passing of Senator Alex Gallacher. He proudly served in our Parliament for 10 years &amp; we thank him for that wonderful service to his country. My deepest condolences go to his family, friends &amp; colleagues &amp; those in the Labor movement. May he RIP.",57,531,"Deeply saddened to hear of the passing of Senator Alex Gallacher. He proudly served in our Parliament for 10 years &amp; we thank him for that wonderful service to his country. My deepest condolences go to his family, friends &amp; colleagues &amp; those in the Labor movement. May he RIP. "
1431020358904123392,2021-08-26 22:26:55+00:00,Deeply saddened by the deaths of US military personnel and Afghans in the horrific terrorist attacks in Kabul. We mourn your tragic loss.   Australia condemns these heinous and barbaric attacks.  All our brave ADF and Australian personnel are safe.,162,1619,Deeply saddened by the deaths of US military personnel and Afghans in the horrific terrorist attacks in Kabul. We mourn your tragic loss.   Australia condemns these heinous and barbaric attacks.  All our brave ADF and Australian personnel are safe. 
1429772599605620740,2021-08-23 11:48:46+00:00,"10.9 million Australians have now had at least one COVID vaccine dose.   NSW and ACT are nearly at 3 out of every 5 people aged 16+ having had their first dose.   We’re getting this done, Australia. Keep it up! https://t.co/KMAcRwxwO8",194,1419,"10.9 million Australians have now had at least one COVID vaccine dose.   NSW and ACT are nearly at 3 out of every 5 people aged 16+ having had their first dose.   We’re getting this done, Australia. Keep it up! https://t.co/KMAcRwxwO8 "
1428217595690328065,2021-08-19 04:49:44+00:00,"A significant milestone today. 50% of all Australians aged 16+ have now had their first COVID vaccination.  We’re getting this done, Australia. Thank you. Let’s keep going! https://t.co/B9fDSW2wQa",193,1557,"A significant milestone today. 50% of all Australians aged 16+ have now had their first COVID vaccination.  We’re getting this done, Australia. Thank you. Let’s keep going! https://t.co/B9fDSW2wQa "
1427568798119333889,2021-08-17 09:51:39+00:00,Best wishes to our Indonesian friends on their National Day. We continue to strengthen our partnership in the face of the pandemic and adversity.   I look forward to discussing our mutual recovery efforts with President @jokowi soon.   ,68,516,Best wishes to our Indonesian friends on their National Day. We continue to strengthen our partnership in the face of the pandemic and adversity.   I look forward to discussing our mutual recovery efforts with President @jokowi soon. 
1427503155269431301,2021-08-17 05:30:48+00:00,"10 million, or almost 1 in every 2 Australians aged 16+, have now had their first COVID jab.  Yesterday alone, 279,465 Australians had a jab, which is almost 200 people every minute.   Thank you to each and every one of you.   Keep it up Australia!   #COVID19Aus https://t.co/Qqmkbn5Bwq",147,1193,"10 million, or almost 1 in every 2 Australians aged 16+, have now had their first COVID jab.  Yesterday alone, 279,465 Australians had a jab, which is almost 200 people every minute.   Thank you to each and every one of you.   Keep it up Australia!   #COVID19Aus https://t.co/Qqmkbn5Bwq "
1426760414419820548,2021-08-15 04:19:25+00:00,"Wishing my dear friend @narendramodi, the people of India and our Australian Indian community, a joyous Independence Day. We cherish our close partnership with India, built on trust, respect and shared values. Happy Independence Day! #dosti #diaspora https://t.co/bb4Q5SEAEq",1693,14910,"Wishing my dear friend @narendramodi, the people of India and our Australian Indian community, a joyous Independence Day. We cherish our close partnership with India, built on trust, respect and shared values. Happy Independence Day! #dosti #diaspora https://t.co/bb4Q5SEAEq "
1426735817343455239,2021-08-15 02:41:40+00:00,An extra 1 million Pfizer vaccine doses will soon land in Australia after we secured a deal with Poland.  These extra doses are on top of the 40 million Pfizer doses we have already secured for 2021. It will provide a big shot in the arm to our vaccine roll-out. https://t.co/CvqrTR6sSo,191,1561,An extra 1 million Pfizer vaccine doses will soon land in Australia after we secured a deal with Poland.  These extra doses are on top of the 40 million Pfizer doses we have already secured for 2021. It will provide a big shot in the arm to our vaccine roll-out. https://t.co/CvqrTR6sSo 
1423088057469657091,2021-08-05 01:06:47+00:00,"There would be no more trusted voice or face in the history of Australian news broadcasting than Brian Henderson. We knew everything we needed to know because Brian told us so. His combination of warmth, integrity, kindness and good humour was unique. https://t.co/ZSRBLXNL81",50,463,"There would be no more trusted voice or face in the history of Australian news broadcasting than Brian Henderson. We knew everything we needed to know because Brian told us so. His combination of warmth, integrity, kindness and good humour was unique. https://t.co/ZSRBLXNL81 "
1420288208479211520,2021-07-28 07:41:11+00:00,We’re providing new and additional financial support from next week to people in NSW who have lost work to help them get through this extended lockdown. Read more: https://t.co/k8C9e7kX8h https://t.co/DH1iiD0tdW,109,512,We’re providing new and additional financial support from next week to people in NSW who have lost work to help them get through this extended lockdown. Read more: https://t.co/k8C9e7kX8h https://t.co/DH1iiD0tdW 
1420258569358757888,2021-07-28 05:43:24+00:00,"NSW businesses with turnover of up to $250m will now be able to access payments of up to $100,000 a week under new expanded support payments from the Federal and NSW Governments. This will cover 400,000 businesses with 3.3m workers. Read more: https://t.co/0QlwMni1YW",80,443,"NSW businesses with turnover of up to $250m will now be able to access payments of up to $100,000 a week under new expanded support payments from the Federal and NSW Governments. This will cover 400,000 businesses with 3.3m workers. Read more: https://t.co/0QlwMni1YW "
1418796823314145291,2021-07-24 04:54:57+00:00,"Honoured to speak with Fiame Naomi Mata’afa, Samoa’s new PM. Australia sends warm congratulations &amp; wishes you every success. I look forward to working with you on a relationship that is important &amp; strong. As a Pacific family we will face the challenges of COVID together.  https://t.co/lGJlnrzaRi",156,1325,"Honoured to speak with Fiame Naomi Mata’afa, Samoa’s new PM. Australia sends warm congratulations &amp; wishes you every success. I look forward to working with you on a relationship that is important &amp; strong. As a Pacific family we will face the challenges of COVID together.  https://t.co/lGJlnrzaRi "
1415948793665658880,2021-07-16 08:17:54+00:00,"Our deepest condolences to our friends in Germany and Belgium, as well as Luxembourg, the Netherlands and Switzerland, you are in our thoughts. https://t.co/7wTujFjzHS",74,601,"Our deepest condolences to our friends in Germany and Belgium, as well as Luxembourg, the Netherlands and Switzerland, you are in our thoughts. https://t.co/7wTujFjzHS "
1415219728138661891,2021-07-14 08:00:51+00:00,"Tony Smith is a great mate, an extremely dedicated member of Parliament and one of the best Speakers our Parliament has ever seen. I’ll miss him and so will our Parliament. Great job Smithy, but still a bit more work to do before you hang up the boots ➡️ https://t.co/A6bg65gDTx https://t.co/MfAOhfBLsa",64,569,"Tony Smith is a great mate, an extremely dedicated member of Parliament and one of the best Speakers our Parliament has ever seen. I’ll miss him and so will our Parliament. Great job Smithy, but still a bit more work to do before you hang up the boots ➡️ https://t.co/A6bg65gDTx https://t.co/MfAOhfBLsa "
