,english,sentiment,vader_sentiment,blob_sentiment
0,educating girls doesn_t just improve lives it transforms societies the uk is a leading_supporter of girls_education and i will_always campaign to give every_girl around the world years of quality_education dayofthegirl,POSITIVE,POSITIVE,NEUTRAL
1,it_takes courage to speak_out about mental_health but i say to everybody in the armed_services who might want to reach_out for help – we_re here for you ➡️,POSITIVE,POSITIVE,NEUTRAL
2,desperately sad to hear the news about james brokenshire james was the nicest kindest and most unassuming of politicians but_also extraordinarily effective,NEGATIVE,POSITIVE,POSITIVE
3,fantastic_news that the uae has_become the first gulf country to commit to net_zero emissions_by this is a significant_step in tackling_climate change and i_hope more countries_commit to net_zero ahead of,POSITIVE,POSITIVE,POSITIVE
4,the uk is honoured to host these_games in the brilliant city of birmingham bringing_together nations and territories from across the globe amp marking a year of pride and celebration for this country,POSITIVE,POSITIVE,POSITIVE
5,delighted to welcome admiral sir tony radakin as the next chief of the defence staff he s been an_outstanding military leader as first sea lord and chief of the naval staff and i have every confidence he will_be exceptional in his new role,POSITIVE,POSITIVE,POSITIVE
6,we are a step_closer to eradicating malaria which kills thousands_of children each year fantastic to hear that the have approved a vaccine that will help protect children in africa from this_disease,POSITIVE,POSITIVE,POSITIVE
7,by uk electricity will_be carbon_free using sources like which is set to be the world s largest offshore_wind farm join_me in signing one of s magnificent wind_turbines to call for ambitious global climate_action at,POSITIVE,POSITIVE,POSITIVE
8,what a fantastic conference we’re_getting on with the job to deliver the people’s_priorities we will seize this moment and together we will buildbackbetter,POSITIVE,POSITIVE,POSITIVE
9,join_me live at cpc as we buildbackbetter,POSITIVE,NEUTRAL,POSITIVE
10,taking_action making the tough_decisions and getting on with the job this is how we will buildbackbetter_from the pandemic watch my_speech to cpc live at_am,POSITIVE,NEUTRAL,POSITIVE
11,we are the party of law and order buildbackbetter,POSITIVE,POSITIVE,NEUTRAL
12,hugely_welcome news that this new treatment for sickle cell disease – the first in years – is now available on the nhs saving and improving the lives of thousands_of patients in england who_suffer from this_disease,POSITIVE,POSITIVE,POSITIVE
13,we’re_getting on with the job of building_back better from this_pandemic a stronger_economy where_everyone is empowered to reach their full_potential our plan for jobs is working and we’re_expanding with a £m_package to help people back_into work buildbackbetter,POSITIVE,POSITIVE,POSITIVE
14,we are the party of opportunity buildbackbetter,POSITIVE,POSITIVE,NEUTRAL
15,i_am very_saddened to learn of the death of major_general matt holmes my_thoughts are with matt s family and friends at this difficult_time as_well as the royal marines and royal_navy who i_know will feel this loss keenly,NEGATIVE,NEGATIVE,NEUTRAL
16,congratulations to fumio_kishida on being_sworn in as prime_minister of japan japan is one of our closest strategic_partners and i_look forward to working_closely together on our_shared priorities from climate_change to defence and boosting_trade,POSITIVE,POSITIVE,NEUTRAL
17,the does a fantastic job of providing a safe and inspiring_environment for young_people in manchester we’re_putting children and young_people at the heart of our plans to buildbackbetter,POSITIVE,POSITIVE,POSITIVE
18,i_met some incredible young_people at the hideout youth zone in manchester today which does a fantastic job of providing a safe and inspiring_environment we’re_boosting volunteering projects and putting_children and young_people at the heart of our plans to buildbackbetter,POSITIVE,POSITIVE,POSITIVE
19,we’re_taking action on illegitimate protestors who are unfairly blocking motorways and disrupting people’s_lives we’re_giving the police the measures to stop them with protesters facing six_months in jail or unlimited fines,NEGATIVE,NEGATIVE,NEGATIVE
20,we are levelling_up across the uk buildbackbetter,POSITIVE,NEUTRAL,NEUTRAL
21,has_shown that by combining hard_work skill and determination there_is no_limit to what young_people can_achieve we’re_introducing new_funding for tennis facilities and improving school sports_facilities as_part of our plan to level_up across the uk,POSITIVE,POSITIVE,NEUTRAL
