id,created_at,text,rt_count,fav_count,english
1447514721503129603,2021-10-11 10:49:37+00:00,"Educating girls doesn't just improve lives, it transforms societies.  The UK is a leading supporter of girls' education and I will always campaign to give every girl around the world 12 years of quality education.  #DayOfTheGirl",422,2697,"Educating girls doesn't just improve lives, it transforms societies.  The UK is a leading supporter of girls' education and I will always campaign to give every girl around the world 12 years of quality education.  #DayOfTheGirl "
1447156515438305287,2021-10-10 11:06:14+00:00,It takes courage to speak out about mental health.   But I say to everybody in the armed services who might want to reach out for help – we're here for you.  ➡️ https://t.co/HhRC2SOn4R https://t.co/R93j7ah45u,409,1911,It takes courage to speak out about mental health.   But I say to everybody in the armed services who might want to reach out for help – we're here for you.  ➡️ https://t.co/HhRC2SOn4R https://t.co/R93j7ah45u 
1446429130631827457,2021-10-08 10:55:52+00:00,"Desperately sad to hear the news about James Brokenshire.  James was the nicest, kindest and most unassuming of politicians but also extraordinarily effective.",797,7895,"Desperately sad to hear the news about James Brokenshire.  James was the nicest, kindest and most unassuming of politicians but also extraordinarily effective. "
1446169835738648578,2021-10-07 17:45:32+00:00,Fantastic news that the UAE has become the first Gulf country to commit to Net Zero emissions by 2050.   This is a significant step in tackling climate change and I hope more countries commit to Net Zero ahead of @COP26.,372,2142,Fantastic news that the UAE has become the first Gulf country to commit to Net Zero emissions by 2050.   This is a significant step in tackling climate change and I hope more countries commit to Net Zero ahead of @COP26. 
1446101800629768195,2021-10-07 13:15:11+00:00,"The UK is honoured to host these games in the brilliant city of Birmingham, bringing together 72 nations and territories from across the globe &amp; marking a year of pride and celebration for this country. https://t.co/xh4HLbjEqK",190,1243,"The UK is honoured to host these games in the brilliant city of Birmingham, bringing together 72 nations and territories from across the globe &amp; marking a year of pride and celebration for this country. https://t.co/xh4HLbjEqK "
1446040948941721600,2021-10-07 09:13:23+00:00,Delighted to welcome Admiral Sir Tony Radakin as the next Chief of the Defence Staff. He's been an outstanding military leader as First Sea Lord and Chief of the Naval Staff and I have every confidence he will be exceptional in his new role. 1/2,252,1904,Delighted to welcome Admiral Sir Tony Radakin as the next Chief of the Defence Staff. He's been an outstanding military leader as First Sea Lord and Chief of the Naval Staff and I have every confidence he will be exceptional in his new role. 1/2 
1445847258759585792,2021-10-06 20:23:43+00:00,We are a step closer to eradicating malaria which kills thousands of children each year.   Fantastic to hear that the @WHO have approved a vaccine that will help protect children in Africa from this disease. https://t.co/OBGWF2FoAm,222,1555,We are a step closer to eradicating malaria which kills thousands of children each year.   Fantastic to hear that the @WHO have approved a vaccine that will help protect children in Africa from this disease. https://t.co/OBGWF2FoAm 
1445808102083727366,2021-10-06 17:48:08+00:00,"By 2035, UK electricity will be carbon-free, using sources like @DoggerBankWind, which is set to be the world's largest offshore wind farm.  Join me in signing one of @SSE's magnificent wind turbines to call for ambitious global climate action at @COP26: https://t.co/1meAPb14ns https://t.co/h8sibQLBAk",150,709,"By 2035, UK electricity will be carbon-free, using sources like @DoggerBankWind, which is set to be the world's largest offshore wind farm.  Join me in signing one of @SSE's magnificent wind turbines to call for ambitious global climate action at @COP26: https://t.co/1meAPb14ns https://t.co/h8sibQLBAk "
1445716869004943370,2021-10-06 11:45:36+00:00,What a fantastic Conference!  We’re getting on with the job to deliver the people’s priorities.  We will seize this moment and together we will #BuildBackBetter. https://t.co/bUrE4GGMom,661,4258,What a fantastic Conference!  We’re getting on with the job to deliver the people’s priorities.  We will seize this moment and together we will #BuildBackBetter. https://t.co/bUrE4GGMom 
1445695209220702209,2021-10-06 10:19:32+00:00,Join me live at #CPC21 as we #BuildBackBetter. https://t.co/SiEjyMW9HK,197,835,Join me live at #CPC21 as we #BuildBackBetter. https://t.co/SiEjyMW9HK 
1445675202709495808,2021-10-06 09:00:02+00:00,Taking action.  Making the tough decisions.  And getting on with the job.  This is how we will #BuildBackBetter from the pandemic.   Watch my speech to #CPC21 live at 11:30AM. https://t.co/B1EsK7bAbF,270,1467,Taking action.  Making the tough decisions.  And getting on with the job.  This is how we will #BuildBackBetter from the pandemic.   Watch my speech to #CPC21 live at 11:30AM. https://t.co/B1EsK7bAbF 
1445332865756155911,2021-10-05 10:19:42+00:00,We are the party of law and order.  #BuildBackBetter https://t.co/rp7Oqtejel,419,3587,We are the party of law and order.  #BuildBackBetter https://t.co/rp7Oqtejel 
1445312711898902530,2021-10-05 08:59:37+00:00,"Hugely welcome news that this new treatment for sickle cell disease – the first in 20 years – is now available on the NHS, saving and improving the lives of thousands of patients in England who suffer from this disease.  https://t.co/Ih02xmK2dh",169,928,"Hugely welcome news that this new treatment for sickle cell disease – the first in 20 years – is now available on the NHS, saving and improving the lives of thousands of patients in England who suffer from this disease.  https://t.co/Ih02xmK2dh "
1445270828204105733,2021-10-05 06:13:11+00:00,#BuildBackBetter https://t.co/tHVxnHbdDE,1350,8905,#BuildbackBetter https://t.co/thvxnhbdde 
1445104926431006722,2021-10-04 19:13:57+00:00,#BuildBackBetter https://t.co/KhYrVAxWxC,2634,13848,#BuildbackBetter https://t.co/khyrvaxwxc 
1445015687903293440,2021-10-04 13:19:21+00:00,"We’re getting on with the job of building back better from this pandemic: a stronger economy where everyone is empowered to reach their full potential.    Our Plan for Jobs is working, and we’re expanding with a £500m package to help people back into work.    #BuildBackBetter https://t.co/6HAoYGI7dC",205,1006,"We’re getting on with the job of building back better from this pandemic: a stronger economy where everyone is empowered to reach their full potential.    Our Plan for Jobs is working, and we’re expanding with a £500m package to help people back into work.    #BuildBackBetter https://t.co/6HAoYGI7dC "
1444976480719605761,2021-10-04 10:43:34+00:00,We are the party of opportunity.  #BuildBackBetter https://t.co/TVJ8PAuSTc,221,1829,We are the party of opportunity.  #BuildBackBetter https://t.co/TVJ8PAuSTc 
1444970923824648197,2021-10-04 10:21:29+00:00,"I am very saddened to learn of the death of Major General Matt Holmes. My thoughts are with Matt's family and friends at this difficult time, as well as the Royal Marines and Royal Navy who I know will feel this loss keenly.",198,1908,"I am very saddened to learn of the death of Major General Matt Holmes. My thoughts are with Matt's family and friends at this difficult time, as well as the Royal Marines and Royal Navy who I know will feel this loss keenly. "
1444956053330931713,2021-10-04 09:22:23+00:00,Congratulations to Fumio Kishida @kishida230 on being sworn in as Prime Minister of Japan.  Japan is one of our closest strategic partners and I look forward to working closely together on our shared priorities; from climate change to defence and boosting trade.  ,497,2884,Congratulations to Fumio Kishida @kishida230 on being sworn in as Prime Minister of Japan.  Japan is one of our closest strategic partners and I look forward to working closely together on our shared priorities; from climate change to defence and boosting trade. 
1444749526493978625,2021-10-03 19:41:43+00:00,The @HideOut_YZ does a fantastic job of providing a safe and inspiring environment for young people in Manchester.  We’re putting children and young people at the heart of our plans to #BuildBackBetter. https://t.co/MwGCaxWpSO,157,862,The @HideOut_YZ does a fantastic job of providing a safe and inspiring environment for young people in Manchester.  We’re putting children and young people at the heart of our plans to #BuildBackBetter. https://t.co/MwGCaxWpSO 
1444729099738550277,2021-10-03 18:20:33+00:00,#BuildBackBetter https://t.co/UV73W81cmk,1190,8149,#BuildbackBetter https://t.co/uv73w81cmk 
1444715831653543945,2021-10-03 17:27:50+00:00,"I met some incredible young people at the HideOut Youth Zone in Manchester today, which does a fantastic job of providing a safe and inspiring environment.  We’re boosting volunteering projects and putting children and young people at the heart of our plans to #BuildBackBetter. https://t.co/2pXHAbqSCF",214,1551,"I met some incredible young people at the HideOut Youth Zone in Manchester today, which does a fantastic job of providing a safe and inspiring environment.  We’re boosting volunteering projects and putting children and young people at the heart of our plans to #BuildBackBetter. https://t.co/2pXHAbqSCF "
1444678486464077827,2021-10-03 14:59:26+00:00,"We’re taking action on illegitimate protestors who are unfairly blocking motorways and disrupting people’s lives.  We’re giving the police the measures to stop them, with protesters facing six months in jail, or unlimited fines. https://t.co/5haKhPBFm2",555,2887,"We’re taking action on illegitimate protestors who are unfairly blocking motorways and disrupting people’s lives.  We’re giving the police the measures to stop them, with protesters facing six months in jail, or unlimited fines. https://t.co/5haKhPBFm2 "
1444625008177864708,2021-10-03 11:26:56+00:00,We are levelling up across the UK.  #BuildBackBetter https://t.co/cUtIwN4DOz,211,1602,We are levelling up across the UK.  #BuildBackBetter https://t.co/cUtIwN4DOz 
