id,created_at,text,rt_count,fav_count,english
1447614728537260033,2021-10-11 17:27:01+00:00,"בזכות העובדה שהממשלה הנוכחית משוחררת מהכבלים הקואליציוניים והאינטרסנטיים שאפיינו את קודמתה, הצלחנו להעביר את התקציב הכי חברתי שהיה פה שנים. על קצה המזלג: https://t.co/km6CtnzAbz",37,478,"Thanks to the fact that the current government is released from the coalition and intellectual cables that characterized its previous, we managed to transfer the social budget that was here. On the edge of the fork: https://t.co/km6ctnzabz "
1447458640269660160,2021-10-11 07:06:46+00:00,הצטרפו לשידור החי: ראש הממשלה נפתלי בנט בועידת הגולן &gt;&gt;   https://t.co/kNpbvLrveC,19,149,Join the live broadcast: Prime Minister Naftali Bennett at the Golan Heights Conference & GT; https://t.co/knpbvlrvec 
1447218324430065672,2021-10-10 15:11:51+00:00,"בשבילי, כיהודי מאמין, כישראלי, שהעבר של עמו צרוב בו, ונמצא איתו באשר ילך, כמי שענפים ממשפחתו נגדעו בשואה ומונצחים כאן בשמותיהם, כראש ממשלת ישראל, שעתידה מופקד בידיו, כל הדרכים מובילות לירושלים.  מתוך דברים שאמרתי ביד ושם, יחד עם קנצלרית גרמניה. לפוסט המלא: https://t.co/rFCIAMYhaT https://t.co/iIad9SiEPu",46,613,"For me, as a believer, as an Israeli, the past of his people are burning in it, and we will come with him, as to him, as one of his family industries in the Holocaust and conduct here in their names, as Prime Minister of Israel, who is responsible for his hands, all roads lead to Jerusalem. Out of things I said in Yad Vashem, along with German Chancellor. Full post: https://t.co/rfciamyhat https://t.co/iiad9siepu "
1447155584273354758,2021-10-10 11:02:32+00:00,"דברים שאמרתי במסיבת העיתונאים המשותפת עם קנצלרית גרמניה:  תכנית הגרעין האיראנית הגיעה לשלב שמחייב מנהיגות. השלמה עם הפיכתה של איראן למדינת סף גרעינית תהיה כתם מוסרי על העולם החופשי, ויותר מכך - תאיים על שלום העולם. &gt;&gt; https://t.co/ywz8QGD7xA",51,473,"Things I said at the shared journalists with the German Chancellor: The Iranian nuclear program reached a stage obliging leadership. Completion with Iran's transformation to a nuclear threshold will be a moral stain on the free world, and more of it - an adult about peace of the world. & gt; & gt; https://t.co/ywz8qgd7xa "
1447123726164692996,2021-10-10 08:55:57+00:00,"בישיבת ממשלה עם הקנצלרית, ציטטתי את מילותיה המדוייקות, שאמרה זה מכבר:   ״ישראל היא עדיין המדינה היחידה באזור שיש בה דמוקרטיה ושלטון חוק, חופש דעה ופלורליזם. ביטחון ישראל הוא חלק מהאינטרס הלאומי של גרמניה. אנחנו לא נייטרלים״. &gt;&gt; https://t.co/7vxpSZKvYH",52,602,"At a government meeting with the chancellor, I quoted its exact words, which said it was already: ""Israel is still the only country in the area with democracy and rule of law, freedom of opinion and floralism. Israel's security is part of the National Interests of Germany. We are not neutral. "" & gt; & gt; https://t.co/7vxpszkvyh "
1447120997983870978,2021-10-10 08:45:06+00:00,"זהו ביקור עמוס בתוכן, כולל בדברים חיוניים להבטחת ביטחון ישראל לדורות קדימה.   גבירתי הקנצלרית, אנחנו שמחים מאד לארח אותך כאן היום, ואני רוצה להעביר לך את הערכתו העמוקה של העם בישראל על העמידה שלך לצידנו לאורך השנים, במילים וחשוב יותר - במעשים.",36,608,"This is a busy visit to content, including essential things to ensure security of Israel for generations forward. The chancellor Madam, we are very happy to host you here today, and I want to convey to you the deep appreciation of the people in Israel on your standing beside us over the years, with more important words - in acts. "
1447110741287395331,2021-10-10 08:04:21+00:00,"הצטרפו לשידור החי מישיבת הממשלה החגיגית בהשתתפותה של קנצלרית גרמניה, אנגלה מרקל &gt;&gt;   https://t.co/0SKtLCIaYc",25,143,"Join the live broadcast from the festive government in the participation of Chancellor Germany, Angela Merkel & GT; https://t.co/0sktlciayc "
1447087318720995328,2021-10-10 06:31:17+00:00,"Welcome to Israel, dear friend of Israel!   https://t.co/6TK947kgkg",219,3269,"Welcome to Israel, dear friend of Israel!   https://t.co/6TK947kgkg "
1447066113288941573,2021-10-10 05:07:01+00:00,"שנת הלימודים האקדמית נפתחת היום כסדרה.  לא בזום - בקמפוס. ישראל פתוחה, והישראלים עובדים ולומדים כרגיל.  בהצלחה לסטודנטים, הקפידו על התו הירוק!",75,1661,"The academic year is opened today as a series. Not zoom - on campus. Israel is open, and the Israelis work and learn as usual. Good luck to students, be sure about the green character! "
1446935404893065216,2021-10-09 20:27:37+00:00,"ברוכה הבאה לישראל, קנצלרית גרמניה אנגלה מרקל!  https://t.co/4v7D3cS4Wc",118,1950,"Welcome to Israel, Chancellor Germany Angela Merkel! https://t.co/4v7d3cs4wc "
