id,created_at,text,rt_count,fav_count
1447626172435677186,2021-10-11 18:12:29+00:00,I’ve never been more optimistic about this country than I am right now.   We are going to pass both the Bipartisan Infrastructure Deal and the Build Back Better Agenda – and start building this economy to beat the competition and deliver for working families.,1217,7534
1447599468040310789,2021-10-11 16:26:22+00:00,"Despite the attacks and misinformation, my plans still have the overwhelming support of the American people.   They understand what’s at stake here.   They understand that when workers and families have a better shot – America has a better shot.",2941,15728
1447569483225251846,2021-10-11 14:27:13+00:00,"If you haven’t yet — please, get vaccinated. https://t.co/hbOn95wUgZ",2057,11551
1447322048326291462,2021-10-10 22:04:00+00:00,"We are devastated by the death of General Raymond Odierno, US Army, retired. He made our entire nation better, stronger, and more secure. We are keeping his beloved wife Linda, their children Tony, Mike, and Katie, and their grandchildren in our prayers.",2472,22488
1447253928077320196,2021-10-10 17:33:19+00:00,It’s long past time we build a tax system that works for the middle class – not just those at the top.   My Build Back Better Agenda will get it done. https://t.co/QsBWzz3dD0,2398,11849
1447223396908077061,2021-10-10 15:32:00+00:00,"It isn’t enough just to invest in our physical infrastructure.  If we’re going to lead the world, we also have to invest in our people.  That’s what my Build Back Better Agenda does.",5292,33223
1446960479147077634,2021-10-09 22:07:16+00:00,"While countries around the world invest in the care economy, the United States is standing still.   My Build Back Better Agenda will change that. https://t.co/WlSGJZUB0o",1672,8597
1446900053063389191,2021-10-09 18:07:09+00:00,"Folks, vaccination requirements work. https://t.co/XuBsOQxGaN",1615,10167
1446876360052551683,2021-10-09 16:33:00+00:00,"Jobs up, wages up, unemployment down.   That’s progress.",8272,94125
1446861053074329602,2021-10-09 15:32:11+00:00,"Met another Joey this week, and as I told him: We’re going to get this pandemic under control – together. https://t.co/7PHD023TE1",1053,7533
1446840878035869701,2021-10-09 14:12:00+00:00,"Thirty years ago, the US ranked 6th among advanced economies in the share of women working. Today we rank 23rd.   Millions of parents are feeling the squeeze – earning a paycheck while taking care of their children or aging parents.   My Build Back Better Agenda will change that.",4434,23860
1446599404153081860,2021-10-08 22:12:29+00:00,"Today we learned that in my eight months in office, the economy has created nearly 5 million jobs — and unemployment is now the lowest it's been since March 2020.  But, we have more work to do — and I’m going to keep working every day to build back better for the American people. https://t.co/8zOK6sCcBP",2551,15517
1446591092628066310,2021-10-08 21:39:27+00:00,"Thanks for the hard hat and vest, Clayco. And thanks for all that you and companies across America are doing to help us beat this pandemic. https://t.co/zkIWUJ0bZD",748,4562
1446575309843804165,2021-10-08 20:36:44+00:00,"I’m keeping my campaign commitment.  We’re not going to raise taxes one penny on anyone making under $400,000 per year.  What we are going to do is have the wealthiest Americans and the biggest corporations finally pay their fair share.",6737,45991
1446555752433389584,2021-10-08 19:19:01+00:00,The protection of our public lands must not become a pendulum that swings back and forth depending on who is in office.   This is not a partisan issue.,3018,20962
1446543475441340424,2021-10-08 18:30:14+00:00,"After the last administration chipped away their protections, today I’m proud to announce the protection and expansion of three of our most treasured national monuments:   - Bears Ears  - Grand Staircase-Escalante - Northeast Canyons and Seamounts",3101,19964
1446534693625675777,2021-10-08 17:55:20+00:00,Tune in as I deliver remarks on restoring protections for national monuments. https://t.co/e6N2JyljWP,591,3300
1446531018262028351,2021-10-08 17:40:44+00:00,"In total, the job creation in the first eight months of my administration is nearly 5 million jobs.",3646,27172
1446524622988615708,2021-10-08 17:15:19+00:00,"Today, for the first time since March of 2020, America’s unemployment rate is below 5%.   In just eight months since I became President — in the midst of a grave public health and economic crisis — the unemployment rate is now down to 4.8%.",6023,40764
1446518774035881996,2021-10-08 16:52:05+00:00,Tune in as I deliver remarks on the September jobs report. https://t.co/7VV1sstPeV,616,3066
1446269386520735748,2021-10-08 00:21:06+00:00,"This afternoon, I toured a Clayco construction site in Illinois. The company is doing something more than constructing buildings, they’re helping us beat COVID-19. I hope more companies will follow their lead and implement vaccination requirements. https://t.co/ji7H2nfTNe",1217,8356
1446241428410150914,2021-10-07 22:30:01+00:00,A strong majority of Americans support vaccination requirements.   They know this isn’t about politics. It’s about life and death. It’s about looking out for one another.,6922,51650
1446230100970725385,2021-10-07 21:45:00+00:00,We’ve made real progress across the board since I laid out my plan to accelerate the path out of the pandemic:   - More than 185 Million Americans are fully vaccinated - More than 75% of eligible Americans have gotten at least one shot - And we’re making great progress on equity,2090,11672
1446213688134877191,2021-10-07 20:39:47+00:00,Vaccination requirements have already helped cut the rate of unvaccinated Americans by one-third. Let’s keep this progress going and finally put this pandemic behind us. We can do this. https://t.co/2ggbwfgOio,2516,13869
1446199805651341312,2021-10-07 19:44:37+00:00,Tune in as I deliver remarks on the importance of COVID-19 vaccination requirements. https://t.co/EwVX7hfjgP,739,3823
1446157743031824385,2021-10-07 16:57:28+00:00,"I’m heading to Elk Grove Village today to visit a Clayco construction site and talk about the importance of COVID-19 vaccine requirements. See you soon, Illinois!",1949,16255
1446127930275352586,2021-10-07 14:59:00+00:00,"The United States pays its bills. It’s who we are. Yesterday, I spoke with business leaders about why we need to raise the debt ceiling. Here’s what a few of them had to say:",4068,25346
1446120819776655365,2021-10-07 14:30:45+00:00,I’m already setting the course for America to reach net-zero emissions by 2050.   My Build Back Better Agenda will help us get there in a way that creates union jobs and makes us global leaders of clean energy industries — like electric vehicles and solar and wind power.,1767,12130
1445890943824060421,2021-10-06 23:17:19+00:00,"When we give working families a break, we’re not just raising their quality of life or putting parents in a position to earn a paycheck. We’re also positioning our country to compete.  That’s what the Bipartisan Infrastructure Deal and my Build Back Better Agenda are all about. https://t.co/pQf6GwJUsF",1751,8184
1445875812817784832,2021-10-06 22:17:11+00:00,"This afternoon, I held a meeting with business leaders on the need to raise the debt ceiling. We discussed the urgency of this moment and the devastating impact it could have on Americans’ pocketbooks. https://t.co/IT6YlFDNro",2578,15792
1445853742046269443,2021-10-06 20:49:29+00:00,"With my Build Back Better Agenda and the Bipartisan Infrastructure Deal, we’re going to create millions of good-paying, union jobs and ensure folks are treated with the dignity they deserve. https://t.co/KVNxEvk6pq",1723,8788
