id,created_at,text,rt_count,fav_count
1446419372118093825,2021-10-08 10:17:06+00:00,Congratulations to Ressa &amp; Muratov on the @NobelPrize. The Comittee underscores that they represent all journalists who stand up for freedom of speech when democracy and press freedom face increasingly adverse conditions. @mariaressa @novaya_gazeta,70,265
1439974922982408199,2021-09-20 15:29:09+00:00,"Norway's new target is to cut emissions by at least 50 % by 2030. More countries, especially large economies, need to raise their ambition level ahead of #COP26  #UNGA @antonioguterres @norwayUN",84,427
1436610974677676032,2021-09-11 08:42:01+00:00,"20 years have passed, but we will always remember the lives lost so cruelly on 9/11. The attacks brought the world together in the fight against international terrorism and extremism. Our societies remain free and open. No act of terror can ever change who we are. #NeverForget",67,540
1435664812856463368,2021-09-08 18:02:19+00:00,"Gratulerer , ser frem til spennende utvikling! https://t.co/5h0mWESKCr",3,60
1431955591006760973,2021-08-29 12:23:12+00:00,"Gratulerer med verdensrekord og gull i Tokyo, Salum Kashafali. Du er et fantastisk forbilde. #Paralympics @idrett",13,204
1431841104584925186,2021-08-29 04:48:16+00:00,Et imponerende løp av en imponerende idrettsutøver. Gratulerer med gull @BirgitSkarstein #Paralympics  @idrett,10,157
1430095485289865216,2021-08-24 09:11:48+00:00,Store idrettsprestasjoner i vente når #Paralympics starter i dag. Lykke til #teamnorway🇳🇴,8,145
1427277729209196549,2021-08-16 14:35:02+00:00,"Dear @Malala, thank you for advocating for women and girls and for protection of civilians during the turmoil we see in Afghanistan now. Norway will heed your call in our work in the #SecurityCouncil https://t.co/L3qNpSYC2I",335,3167
1426646815743561733,2021-08-14 20:48:01+00:00,I convey my condolences to friends and families of those who have lost their lives in the devastating #Haitiearthquake. My thoughts are with the people of #Haiti,24,214
1423980167232462852,2021-08-07 12:11:42+00:00,"Gratulerer med OL-gull på 1500-meter, og et løp for historiebøkene, Jakob Ingebrigtsen! #Olympics #gullørdag",20,378
