id,created_at,text,rt_count,fav_count
1447611179224891394,2021-10-11 17:12:55+00:00,"Came across this lovely thread on the culture and heritage of Gujarat. There are such treasures in every part of India, which have to be seen to be admired.   Our ancestors were indeed outstanding visionaries, from whom we have inherited such fine wonders. https://t.co/THKHwfvx3D",1630,7857
1447601017210609670,2021-10-11 16:32:32+00:00,"At 11 AM tomorrow, 12th October, will address the 28th NHRC Foundation Day programme. The NHRC plays an important role in our nation in protecting the human rights and dignity of the marginalised.",2337,14011
1447600812209831939,2021-10-11 16:31:43+00:00,"Shri Nedumudi Venu was a versatile actor, who could fill life into diverse roles across many genres. He was also a prolific writer and was passionate about theatre. His passing away is a loss to the world of films and culture. Condolences to his family and admirers. Om Shanti.",1726,9680
1447553366230327303,2021-10-11 13:23:11+00:00,India is bringing in transformative reforms and the aim behind these reforms is to build an Aatmanirbhar Bharat. https://t.co/wNvrfqGjPQ,2756,13690
1447553062667649027,2021-10-11 13:21:59+00:00,"For us, the space sector is about bringing a positive difference in the lives of 130 crore Indians. https://t.co/5MxcPthmRQ",1907,8109
1447552975614873605,2021-10-11 13:21:38+00:00,The 4 pillars on which India is working to transform the space sector. https://t.co/eeyP7JrLcj,2046,8906
1447495350147637257,2021-10-11 09:32:39+00:00,"Was a pleasure to speak to Prime Minister @BorisJohnson. We reviewed progress on the India-UK Agenda 2030, exchanged views on climate action in the context of the forthcoming COP-26 in Glasgow, and shared our assessments on regional issues including Afghanistan.",3697,25827
1447443874931097602,2021-10-11 06:08:06+00:00,Speaking at the launch of Indian Space Association. https://t.co/PWnwsL54Z8,3999,17824
1447416935394676738,2021-10-11 04:21:03+00:00,"Tributes to Loknayak JP on his Jayanti. He was a remarkable personality, who left an indelible mark on India’s history. He devoted himself to public welfare initiatives and was at the forefront of protecting India’s democratic ethos. We are deeply inspired by his ideals. https://t.co/jx7et8MOzJ",3222,20398
1447409763134758914,2021-10-11 03:52:33+00:00,"Pranams to the great visionary, Bharat Ratna Nanaji Deshmukh on  his Jayanti. He dedicated himself towards the development of our villages and empowering the industrious farmers. Sharing a speech I had delivered in 2017 to mark Nanaji’s birth centenary. https://t.co/KeWUhBvnPt https://t.co/jVkaRo4e9F",3714,21174
1447408228359307265,2021-10-11 03:46:27+00:00,I bow to Maa Katyayani. May her blessings remain upon us and may they further the spirit of brotherhood and compassion in our society. https://t.co/5G8UFKfrUJ,8529,53982
1447196877766553604,2021-10-10 13:46:37+00:00,"At 11 AM tomorrow, 11th October, I will join the programme to launch the  Indian Space Association. I am glad to be getting the opportunity to interact with leading stakeholders of the sector. Those interested in the world of space and innovation must watch tomorrow’s programme.",6559,44930
1447196443463217152,2021-10-10 13:44:54+00:00,Outstanding performance by our shooters! India emerges on top of the medal tally at the Shooting Junior World Championships with 40 medals including 16 Golds. Congratulations to the team and best wishes for the future. This  success will inspire several budding shooters. https://t.co/htz9e0SeqG,4169,24279
1447195870848372745,2021-10-10 13:42:37+00:00,Congratulations to @OLyAnshu for winning the Silver and @saritamor3 for winning the Bronze at the World Wrestling Championship 2021. Best wishes to these outstanding athletes for their future endeavours. https://t.co/2HNzheJ6G7,5597,44411
1447044045658722304,2021-10-10 03:39:19+00:00,नवरात्रि में देवी स्कंदमाता की उपासना की जाती है। मेरी प्रार्थना है कि मां स्कंदमाता अपने भक्तों को सभी कठिनाइयों से पार पाने की शक्ति प्रदान करें। https://t.co/gj20Iybo9K,10679,68285
1447043103261560834,2021-10-10 03:35:35+00:00,We pray to Maa Kushmanda and seek her blessings for our various endeavours. Here is a Stuti dedicated to her. https://t.co/fdC3YA9fto,6863,41240
1446846691039088643,2021-10-09 14:35:06+00:00,This is just one example of the monumental effort put in by every stakeholder to ensure our fellow citizens get vaccinated.   Kudos to each and every person who is making India’s vaccination drive a success. https://t.co/5L4yh0JNoR,9244,53205
1446846331343892491,2021-10-09 14:33:41+00:00,Today is a special day for the wonderful people of the Konkan region and will surely give an impetus to connectivity and tourism. https://t.co/znchlIwH6V,3333,21915
