,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447514721503129603,2021-10-11 10:49:37+00:00,"Educating girls doesn't just improve lives, it transforms societies.  The UK is a leading supporter of girls' education and I will always campaign to give every girl around the world 12 years of quality education.  #DayOfTheGirl",422,2697,"Educating girls doesn't just improve lives, it transforms societies.  The UK is a leading supporter of girls' education and I will always campaign to give every girl around the world 12 years of quality education.  #DayOfTheGirl ",educate girl do not improve life transform society uk lead supporter girl education always campaign give every girl around world year quality education,NEGATIVE,NEGATIVE,NEUTRAL
1,1447156515438305287,2021-10-10 11:06:14+00:00,It takes courage to speak out about mental health.   But I say to everybody in the armed services who might want to reach out for help – we're here for you.  ➡️ https://t.co/HhRC2SOn4R https://t.co/R93j7ah45u,409,1911,It takes courage to speak out about mental health.   But I say to everybody in the armed services who might want to reach out for help – we're here for you.  ➡️ https://t.co/HhRC2SOn4R https://t.co/R93j7ah45u ,take courage speak mental health say everybody armed service might want reach help,POSITIVE,POSITIVE,NEGATIVE
2,1446429130631827457,2021-10-08 10:55:52+00:00,"Desperately sad to hear the news about James Brokenshire.  James was the nicest, kindest and most unassuming of politicians but also extraordinarily effective.",797,7895,"Desperately sad to hear the news about James Brokenshire.  James was the nicest, kindest and most unassuming of politicians but also extraordinarily effective. ",desperately sad hear news james brokenshire james nice kindest unassuming politician also extraordinarily effective,NEGATIVE,POSITIVE,POSITIVE
3,1446169835738648578,2021-10-07 17:45:32+00:00,Fantastic news that the UAE has become the first Gulf country to commit to Net Zero emissions by 2050.   This is a significant step in tackling climate change and I hope more countries commit to Net Zero ahead of @COP26.,372,2142,Fantastic news that the UAE has become the first Gulf country to commit to Net Zero emissions by 2050.   This is a significant step in tackling climate change and I hope more countries commit to Net Zero ahead of @COP26. ,fantastic news uae become first gulf country commit net zero emission significant step tackle climate change hope country commit net zero ahead,POSITIVE,POSITIVE,POSITIVE
4,1446101800629768195,2021-10-07 13:15:11+00:00,"The UK is honoured to host these games in the brilliant city of Birmingham, bringing together 72 nations and territories from across the globe &amp; marking a year of pride and celebration for this country. https://t.co/xh4HLbjEqK",190,1243,"The UK is honoured to host these games in the brilliant city of Birmingham, bringing together 72 nations and territories from across the globe &amp; marking a year of pride and celebration for this country. https://t.co/xh4HLbjEqK ",uk honour host game brilliant city birmingham bring together nation territory across globe mark year pride celebration country,POSITIVE,POSITIVE,POSITIVE
5,1446040948941721600,2021-10-07 09:13:23+00:00,Delighted to welcome Admiral Sir Tony Radakin as the next Chief of the Defence Staff. He's been an outstanding military leader as First Sea Lord and Chief of the Naval Staff and I have every confidence he will be exceptional in his new role. 1/2,252,1904,Delighted to welcome Admiral Sir Tony Radakin as the next Chief of the Defence Staff. He's been an outstanding military leader as First Sea Lord and Chief of the Naval Staff and I have every confidence he will be exceptional in his new role. 1/2 ,delighted welcome admiral sir tony radakin next chief defence staff he s outstanding military leader first sea lord chief naval staff every confidence exceptional new role,POSITIVE,POSITIVE,POSITIVE
6,1445847258759585792,2021-10-06 20:23:43+00:00,We are a step closer to eradicating malaria which kills thousands of children each year.   Fantastic to hear that the @WHO have approved a vaccine that will help protect children in Africa from this disease. https://t.co/OBGWF2FoAm,222,1555,We are a step closer to eradicating malaria which kills thousands of children each year.   Fantastic to hear that the @WHO have approved a vaccine that will help protect children in Africa from this disease. https://t.co/OBGWF2FoAm ,step close eradicate malaria kill thousand child year fantastic hear approve vaccine help protect child africa disease,POSITIVE,POSITIVE,POSITIVE
7,1445808102083727366,2021-10-06 17:48:08+00:00,"By 2035, UK electricity will be carbon-free, using sources like @DoggerBankWind, which is set to be the world's largest offshore wind farm.  Join me in signing one of @SSE's magnificent wind turbines to call for ambitious global climate action at @COP26: https://t.co/1meAPb14ns https://t.co/h8sibQLBAk",150,709,"By 2035, UK electricity will be carbon-free, using sources like @DoggerBankWind, which is set to be the world's largest offshore wind farm.  Join me in signing one of @SSE's magnificent wind turbines to call for ambitious global climate action at @COP26: https://t.co/1meAPb14ns https://t.co/h8sibQLBAk ",uk electricity carbon free use source like set world large offshore wind farm join sign one magnificent wind turbine call ambitious global climate action,POSITIVE,POSITIVE,POSITIVE
8,1445716869004943370,2021-10-06 11:45:36+00:00,What a fantastic Conference!  We’re getting on with the job to deliver the people’s priorities.  We will seize this moment and together we will #BuildBackBetter. https://t.co/bUrE4GGMom,661,4258,What a fantastic Conference!  We’re getting on with the job to deliver the people’s priorities.  We will seize this moment and together we will #BuildBackBetter. https://t.co/bUrE4GGMom ,fantastic conference get job deliver people priority seize moment together,POSITIVE,POSITIVE,POSITIVE
9,1445695209220702209,2021-10-06 10:19:32+00:00,Join me live at #CPC21 as we #BuildBackBetter. https://t.co/SiEjyMW9HK,197,835,Join me live at #CPC21 as we #BuildBackBetter. https://t.co/SiEjyMW9HK ,join live,POSITIVE,POSITIVE,POSITIVE
