,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447310964387373056,2021-10-10 21:19:58+00:00,"C'est ainsi que s'écrit « remontada » en français ! La victoire du talent, du mental et de l'audace. Renversante équipe de France ! Bravo les bleus et merci. #FiersdetreBleus https://t.co/IJlLHfbhCo",142,1125,"This is how ""Remontada"" is written in French! The victory of talent, mental and audacity. Stunning France team! Bravo the blues and thank you. #FiersDrebleus https://t.co/ijllhfbhco ",remontada write french victory talent mental audacity stun france team bravo blue thank,POSITIVE,POSITIVE,NEGATIVE
1,1446523644323274766,2021-10-08 17:11:26+00:00,"C'est ici, à Poitiers, « capitale de l’éducation » qui rassemble le @cned, le @reseau_canope et @Ih2ef que je suis venu parler du numérique éducatif pour tous. Si la crise du #COVID19 a souligné nos atouts, elle a aussi révélé nos lacunes. Ensemble, nous allons y remédier : https://t.co/OavuofSv7V",81,223,"It is here in Poitiers, ""capital of education"" that brings together the @cned, the @reseau_canope and @ ih2ef that I came to talk about the digital educational for all. If the crisis of # COVID19 highlighted our assets, it also revealed our gaps. Together we will remedy it: https://t.co/oavuofsv7v ",poitier capital education bring together come talk digital educational crisis highlight asset also reveal gap together remedy,NEGATIVE,NEGATIVE,POSITIVE
2,1445755216591134730,2021-10-06 14:17:59+00:00,"900 millions € : jamais une telle somme n'avait été débloquée par l'État pour investir dans les transports collectifs en site propre. Derrière ce chiffre, du concret : 25 nouvelles lignes de tramway et 852 kilomètres de lignes de bus à haut niveau de service, partout en France. https://t.co/KR0EGKgPT1",113,376,"€ 900 million: Never was such a sum unlocked by the state to invest in public transport in own site. Behind this figure, concrete: 25 new tram lines and 852 kilometers of high-level bus lines, everywhere in France. https://t.co/kr0egkgt1 ",million never sum unlocked state invest public transport site behind figure concrete new tram line kilometer high level bus line everywhere france,NEUTRAL,NEUTRAL,POSITIVE
3,1445052320123965449,2021-10-04 15:44:55+00:00,Que nos agriculteurs puissent vivre dignement du fruit de leur travail : tel était l'objectif de cette proposition de loi. Je salue l'engagement des parlementaires et de @J_Denormandie qui ont travaillé main dans la main pour mieux rémunérer celles et ceux qui nous nourrissent. https://t.co/SThpOmXm4E,97,273,That our farmers can live with dignity of the fruit of their work: this was the objective of this bill. I welcome the commitment of parliamentarians and @J_denormandie who worked hand in hand to better pay those who nourish us. https://t.co/sthpomxm4e ,farmer live dignity fruit work objective bill welcome commitment parliamentarian work hand hand well pay nourish we,POSITIVE,POSITIVE,POSITIVE
4,1444219672459624449,2021-10-02 08:36:16+00:00,"Un an après la tempête Alex, je sais l'émotion des habitants de nos vallées. À tous ceux qui ont perdu un proche ou dont le quotidien a été bouleversé par cette épreuve, je veux redire le soutien de l'État. Aujourd'hui comme demain, il restera à leurs côtés. C'est son devoir. https://t.co/NSBEcjoxi4",70,285,"A year after the Storm Alex, I know the emotion of the inhabitants of our valleys. To all those who lost a loved one or whose daily lives has been upset by this test, I want to repeat the support of the state. Today as well tomorrow, he will stay at their side. It's his duty. https://t.co/nsbecjoxi4 ",year storm alex know emotion inhabitant valley lose love one whose daily live upset test want repeat support state today well tomorrow stay side duty,NEGATIVE,POSITIVE,POSITIVE
5,1443962278546706435,2021-10-01 15:33:29+00:00,Je revendique d'être le Premier ministre de l'Intendance. https://t.co/bmy25CnIu2,126,599,I claim to be the Prime Minister of Stewardship. https://t.co/bmy25cniu2 ,claim prime minister stewardship,NEUTRAL,NEUTRAL,NEUTRAL
6,1443926923143532544,2021-10-01 13:12:59+00:00,La sécurité est l'affaire de tous.  C'est en unissant nos forces et en mobilisant tous les acteurs que nous lutterons efficacement et durablement contre l'insécurité dans notre pays. C'est précisément l'objectif des contrats de sécurité intégrée : des moyens et une méthode. https://t.co/fFCqvbM2Ls,52,189,Security is everyone's business. It is by joining forces and mobilizing all the actors we will fight effectively and sustainably against insecurity in our country. This is precisely the objective of integrated security contracts: means and a method. https://t.co/ffcqvbm2ls ,security everyone business join force mobilize actor fight effectively sustainably insecurity country precisely objective integrated security contract mean method,POSITIVE,POSITIVE,POSITIVE
7,1443642201427349507,2021-09-30 18:21:37+00:00,La France s'est toujours battue au niveau européen pour maintenir des tarifs réglementés de vente de l'électricité. C'est ce qui va nous permettre d'éviter une hausse des tarifs d'ici la fin de l'année 2021. Elle sera limitée à 4% début 2022. https://t.co/F4bSs4nzid,180,449,France has always beaten at European level to maintain regulated tariffs for the sale of electricity. This will allow us to avoid a rise in tariffs by the end of the year 2021. It will be limited to 4% early 2022. https://t.co/f4bss4nzid ,france always beat european level maintain regulated tariff sale electricity allow we avoid rise tariff end year limit early,POSITIVE,NEGATIVE,POSITIVE
8,1443641561422647296,2021-09-30 18:19:04+00:00,"Nous mettons en place un bouclier tarifaire. Concrètement, pendant tout l'hiver prochain, le tarif du gaz ne dépassera jamais le niveau d'octobre 2021. La facture de chauffage des Français aurait dû augmenter de 30% : cela n'arrivera pas. https://t.co/AudXc6muU0",407,1081,"We set up a tariff shield. Concretely, throughout the next winter, the gas rate will never exceed October 2021. The heating invoice of the French should have increased by 30%: it will not happen. https://t.co/audxc6muu0 ",set tariff shield concretely throughout next winter gas rate never exceed october heating invoice french increase not happen,NEUTRAL,POSITIVE,POSITIVE
9,1443569229383405578,2021-09-30 13:31:39+00:00,"Avec les ostréiculteurs de l'étang de Thau, capitale méditerranéenne de l'élevage d'huîtres. Ces femmes et ces hommes sont aussi les sentinelles de cet écosystème lagunaire exceptionnel : leur savoir-faire est une chance et une fierté pour toute la région Occitanie. https://t.co/Wq6zpTamB1",52,217,"With the oyster farmers of the Thau pond, the Mediterranean capital of oyster breeding. These women and men are also the sentinels of this exceptional Lagunaire ecosystem: their know-how is a chance and pride for the entire Occitanie region. https://t.co/wq6zptamb1 ",oyster farmer thau pond mediterranean capital oyster breeding woman man also sentinel exceptional lagunaire ecosystem know chance pride entire occitanie region,POSITIVE,POSITIVE,POSITIVE
10,1443136424795070465,2021-09-29 08:51:50+00:00,La ruralité est une chance pour la France ! https://t.co/RJiXfAUzpC,81,339,Rurality is a chance for France! https://t.co/rjixfauzpc ,rurality chance france,NEUTRAL,POSITIVE,NEUTRAL
