,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447558977307484163,2021-10-11 13:45:29+00:00,"Happy Thanksgiving! As we spend time with our loved ones today, let’s give thanks to those on the front lines who have gone above and beyond over the past year. And to everyone who has stepped up and helped others: thank you, too - we’re so grateful. https://t.co/xfMZFYyGIW",235,1592,"Happy Thanksgiving! As we spend time with our loved ones today, let’s give thanks to those on the front lines who have gone above and beyond over the past year. And to everyone who has stepped up and helped others: thank you, too - we’re so grateful. https://t.co/xfMZFYyGIW ",happy thanksgiving spend time love one today let give thank front line go beyond past year everyone step help other thank grateful,POSITIVE,POSITIVE,POSITIVE
1,1447558872936456198,2021-10-11 13:45:04+00:00,"Joyeuse Action de grâce! Alors que nous passons du temps avec nos proches aujourd’hui, remercions les travailleurs de première ligne qui se sont surpassés au cours de la dernière année. Et à tous ceux qui sont venus en aide aux autres : merci à vous aussi. https://t.co/bHC7QdNnpB",37,216,"Happy thanksgiving! While we spend time with our loved ones today, thank the front-line workers who have surpassed over the past year. And to all those who have helped others: thank you too. https://t.co/bhc7qdnnpb ",happy thanksgiving spend time love one today thank front line worker surpass past year help other thank,POSITIVE,POSITIVE,POSITIVE
2,1447542015810539520,2021-10-11 12:38:05+00:00,"I’m thinking about Ella-Grace today, and about her future. I’m thinking about the future of girls across the country and around the world, too. And I’m thinking about the work we must do to make sure they get the support and opportunities they need - and deserve. #DayOfTheGirl https://t.co/FUEqm7p8sk",655,6988,"I’m thinking about Ella-Grace today, and about her future. I’m thinking about the future of girls across the country and around the world, too. And I’m thinking about the work we must do to make sure they get the support and opportunities they need - and deserve. #DayOfTheGirl https://t.co/FUEqm7p8sk ",think ella grace today future think future girl across country around world thinking work must make sure get support opportunity need deserve,POSITIVE,POSITIVE,POSITIVE
3,1447541954154319878,2021-10-11 12:37:50+00:00,"Je pense à Ella-Grace, aujourd’hui, et à son avenir. Je pense à l’avenir des filles de notre pays et du reste du monde aussi. Et je pense au travail qu’on doit accomplir pour qu’elles aient l’appui et les possibilités dont elles ont besoin et qu’elles méritent. #JourneeDeLaFille https://t.co/vJk7MQQuiG",67,587,"I think of Ella-Grace, today, and in his future. I think about the future of the girls of our country and the rest of the world too. And I think about the work we have to do so that they have the support and the possibilities they need and deserve. #Journedelafille https://t.co/vjk7mqquig ",think ella grace today future think future girl country rest world think work support possibility need deserve,POSITIVE,POSITIVE,NEUTRAL
4,1447186726028550147,2021-10-10 13:06:17+00:00,"It’s okay to not be okay. And it’s okay to feel anxious, stressed, or overwhelmed. But you are not alone, know that. And know that we’ll keep working - today and every day - to make sure you can get the care and support you need. #WorldMentalHealthDay https://t.co/QN5ho2ixv4",815,4021,"It’s okay to not be okay. And it’s okay to feel anxious, stressed, or overwhelmed. But you are not alone, know that. And know that we’ll keep working - today and every day - to make sure you can get the care and support you need. #WorldMentalHealthDay https://t.co/QN5ho2ixv4 ",okay not okay okay feel anxious stress overwhelmed not alone know know keep work today every day make sure get care support need,NEGATIVE,POSITIVE,POSITIVE
5,1447186688514695169,2021-10-10 13:06:08+00:00,"Si vous n’allez pas bien ou que vous vous sentez anxieux, stressé ou dépassé, c’est correct. Sachez que vous n’êtes pas seul. Nous allons toujours nous efforcer de vous fournir les soins et le soutien dont vous avez besoin. #JournéeMondialeDeLaSantéMentale https://t.co/2GshXONckY",69,304,"If you do not go well or you feel anxious, stressed or exceeded, it's ok. Know that you are not alone. We will always strive to provide you with the care and support you need. #MeemondialeDelasAntementalMentemental HTTPS://t.co/2gshxoncky ",not go well feel anxious stressed exceed ok know not alone always strive provide care support need,NEGATIVE,POSITIVE,POSITIVE
6,1446894001722904576,2021-10-09 17:43:06+00:00,"Thanksgiving is about more than just giving thanks. It’s about giving back, too. And this morning in Orléans, I joined Carmen and others as they did exactly that. To everyone who helped put together these hampers for the Rahimis and other resettled Afghan families, thank you. https://t.co/Y32mlLpkJh",677,5409,"Thanksgiving is about more than just giving thanks. It’s about giving back, too. And this morning in Orléans, I joined Carmen and others as they did exactly that. To everyone who helped put together these hampers for the Rahimis and other resettled Afghan families, thank you. https://t.co/Y32mlLpkJh ",thanksgiving give thank give back morning orl an join carman other exactly everyone help put together hamper rahimis resettle afghan family thank,POSITIVE,POSITIVE,POSITIVE
7,1446893972329312257,2021-10-09 17:42:59+00:00,"L’Action de grâce est une occasion d’exprimer sa gratitude et de redonner à sa communauté. Ce matin à Orléans, Carmen et d’autres gens faisaient exactement cela. Merci à tous ceux qui ont aidé à préparer des paniers pour les Rahimis et les autres familles afghanes réinstallées. https://t.co/i0aOzIQk4K",73,637,"Thanksgiving is an opportunity to express its gratitude and give back to its community. This morning in Orleans, Carmen and other people were doing exactly that. Thank you to everyone who helped prepare baskets for rahimis and other Afghan families resettled. https://t.co/i0aoziqk4k ",thanksgive opportunity express gratitude give back community morning orleans carman people exactly thank everyone help prepare basket rahimis afghan family resettle,POSITIVE,POSITIVE,POSITIVE
8,1446625528488861696,2021-10-08 23:56:17+00:00,"It was great to spend some time with them, portaging down Wellington, earlier today. What they’re doing is inspiring, and it’s going to mean a lot to so many people across the country. https://t.co/SgXAbVOLad",206,1549,"It was great to spend some time with them, portaging down Wellington, earlier today. What they’re doing is inspiring, and it’s going to mean a lot to so many people across the country. https://t.co/SgXAbVOLad ",great spend time portaging wellington early today inspire go mean lot many people across country,POSITIVE,POSITIVE,POSITIVE
9,1446625500978466821,2021-10-08 23:56:11+00:00,J’ai été ravi de passer un peu de temps avec eux plus tôt aujourd’hui quand nous avons fait du portage sur Wellington. Leurs efforts sont inspirants et importeront beaucoup pour bien des gens à l’échelle du pays. https://t.co/SgXAbVOLad,35,329,I was delighted to spend some time with them earlier today when we made portage on Wellington. Their efforts are inspiring and will import a lot for many people across the country. https://t.co/sgxabvolad ,delighted spend time early today make portage wellington effort inspire import lot many people across country,POSITIVE,POSITIVE,POSITIVE
10,1446593282029588485,2021-10-08 21:48:09+00:00,"We said we’d have your back. And we meant it. With the 157,000 jobs that were added to the economy in September, employment has been restored to pre-pandemic levels. Even so, as we finish the fight against COVID-19, our commitment to you remains the same - we’ll be there for you. https://t.co/fi27D7i8Lu",458,2525,"We said we’d have your back. And we meant it. With the 157,000 jobs that were added to the economy in September, employment has been restored to pre-pandemic levels. Even so, as we finish the fight against COVID-19, our commitment to you remains the same - we’ll be there for you. https://t.co/fi27D7i8Lu ",say back mean job add economy september employment restore pre pandemic level even finish fight covid commitment remain,POSITIVE,POSITIVE,NEGATIVE
11,1446593256670777349,2021-10-08 21:48:03+00:00,"On a dit qu’on serait là pour vous et on a tenu parole: 157 000 emplois ont été ajoutés à l’économie en septembre, et le niveau d’emploi est revenu à ce qu’il était avant la pandémie. La lutte contre la COVID-19 se poursuit, mais notre engagement reste le même: être là pour vous. https://t.co/zocZkgHSaA",27,212,"It has been said that we would be there for you and he has been held over: 157,000 jobs have been added to the economy in September, and the level of employment came back to what it was before the pandemic. The fight against COVID-19 continues, but our commitment remains the same: to be there for you. https://t.co/zoczkghsaa ",say would hold job add economy september level employment come back pandemic fight covid continue commitment remain,NEGATIVE,NEUTRAL,NEUTRAL
12,1446555150412402689,2021-10-08 19:16:38+00:00,"Congratulations, @MariaRessa and Dmitry Muratov. Free, independent, and fact-based journalism is more important than ever - and Canada will continue to champion press freedom and freedom of expression, both here at home and around the world. https://t.co/EcHCsEUzh7",369,1970,"Congratulations, @MariaRessa and Dmitry Muratov. Free, independent, and fact-based journalism is more important than ever - and Canada will continue to champion press freedom and freedom of expression, both here at home and around the world. https://t.co/EcHCsEUzh7 ",congratulations dmitry muratov free independent fact base journalism important ever canada continue champion press freedom freedom expression home around world,POSITIVE,POSITIVE,NEUTRAL
13,1446555118225264664,2021-10-08 19:16:30+00:00,"Félicitations, @MariaRessa et Dmitry Muratov. Le journalisme libre, indépendant et factuel est plus important que jamais et le Canada continuera à promouvoir la liberté de presse et la liberté d'expression ici, au pays, comme dans le monde entier. https://t.co/EcHCsEUzh7",46,307,"Congratulations, @mariaressa and dmitry muratov. Free, independent and factual journalism is more important than ever and Canada will continue to promote freedom of press and freedom of expression here, and around the world. https://t.co/echcseuzh7 ",congratulations dmitry muratov free independent factual journalism important ever canada continue promote freedom press freedom expression around world,POSITIVE,POSITIVE,POSITIVE
14,1446538988609753089,2021-10-08 18:12:24+00:00,"Update: In response to a request for assistance, we’re deploying more resources to the Northwest Territories. As we have been from day one, we’re committed to finishing the fight against COVID-19 - and to being there for the provinces and territories. Details ⤵️ https://t.co/xZmtgsqXdR",149,738,"Update: In response to a request for assistance, we’re deploying more resources to the Northwest Territories. As we have been from day one, we’re committed to finishing the fight against COVID-19 - and to being there for the provinces and territories. Details ⤵️ https://t.co/xZmtgsqXdR ",update response request assistance deploy resource northw territories day one commit finishing fight covid province territory detail,NEGATIVE,NEGATIVE,NEUTRAL
15,1446538969819369473,2021-10-08 18:12:20+00:00,"Mise à jour : En réponse à une demande d’aide des Territoires du Nord-Ouest, on déploie plus de ressources sur le territoire. On est déterminés à en finir avec la COVID-19 et à être là pour les provinces et les territoires, comme on l’a été depuis le premier jour. Détails ⤵️ https://t.co/oFabh1icdK",22,172,"Update: In response to a request for help from the Northwest Territories, more resources are being made on the territory. We are determined to finish with the COVID-19 and to be there for the provinces and territories, as we have been since the first day. Details ⤵️ https://t.co/ofabh1icdk ",update response request help northwest territory resource make territory determine finish covid province territory since first day detail,NEUTRAL,POSITIVE,POSITIVE
16,1446502662871162887,2021-10-08 15:48:04+00:00,"Touched base with @PremierBHiggs. We spoke about child care, clean energy, and what more we can do to keep people safe from COVID-19. From rapid tests to vaccines, we’ll continue to provide the province with the supports they need, and we’ll keep being there for New Brunswickers.",136,950,"Touched base with @PremierBHiggs. We spoke about child care, clean energy, and what more we can do to keep people safe from COVID-19. From rapid tests to vaccines, we’ll continue to provide the province with the supports they need, and we’ll keep being there for New Brunswickers. ",touch base speak child care clean energy keep people safe covid rapid test vaccine continue provide province support need keep new brunswicker,POSITIVE,POSITIVE,POSITIVE
