,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447626172435677186,2021-10-11 18:12:29+00:00,I’ve never been more optimistic about this country than I am right now.   We are going to pass both the Bipartisan Infrastructure Deal and the Build Back Better Agenda – and start building this economy to beat the competition and deliver for working families.,1217,7534,I’ve never been more optimistic about this country than I am right now.   We are going to pass both the Bipartisan Infrastructure Deal and the Build Back Better Agenda – and start building this economy to beat the competition and deliver for working families. ,never optimistic country right go pass bipartisan infrastructure deal build back well agenda start build economy beat competition deliver work family,NEGATIVE,NEUTRAL,POSITIVE
1,1447599468040310789,2021-10-11 16:26:22+00:00,"Despite the attacks and misinformation, my plans still have the overwhelming support of the American people.   They understand what’s at stake here.   They understand that when workers and families have a better shot – America has a better shot.",2941,15728,"Despite the attacks and misinformation, my plans still have the overwhelming support of the American people.   They understand what’s at stake here.   They understand that when workers and families have a better shot – America has a better shot. ",despite attack misinformation plan still overwhelm support american people understand stake understand worker family well shoot america well shoot,POSITIVE,POSITIVE,NEUTRAL
2,1447569483225251846,2021-10-11 14:27:13+00:00,"If you haven’t yet — please, get vaccinated. https://t.co/hbOn95wUgZ",2057,11551,"If you haven’t yet — please, get vaccinated. https://t.co/hbOn95wUgZ ",yet please get vaccinate,NEGATIVE,POSITIVE,NEUTRAL
3,1447322048326291462,2021-10-10 22:04:00+00:00,"We are devastated by the death of General Raymond Odierno, US Army, retired. He made our entire nation better, stronger, and more secure. We are keeping his beloved wife Linda, their children Tony, Mike, and Katie, and their grandchildren in our prayers.",2472,22488,"We are devastated by the death of General Raymond Odierno, US Army, retired. He made our entire nation better, stronger, and more secure. We are keeping his beloved wife Linda, their children Tony, Mike, and Katie, and their grandchildren in our prayers. ",devastate death general raymond odierno us army retire make entire nation well strong secure keep beloved wife linda children tony mike katie grandchildren prayer,NEGATIVE,POSITIVE,POSITIVE
4,1447253928077320196,2021-10-10 17:33:19+00:00,It’s long past time we build a tax system that works for the middle class – not just those at the top.   My Build Back Better Agenda will get it done. https://t.co/QsBWzz3dD0,2398,11849,It’s long past time we build a tax system that works for the middle class – not just those at the top.   My Build Back Better Agenda will get it done. https://t.co/QsBWzz3dD0 ,long past time build tax system work middle class not top build back well agenda get do,POSITIVE,POSITIVE,NEGATIVE
5,1447223396908077061,2021-10-10 15:32:00+00:00,"It isn’t enough just to invest in our physical infrastructure.  If we’re going to lead the world, we also have to invest in our people.  That’s what my Build Back Better Agenda does.",5292,33223,"It isn’t enough just to invest in our physical infrastructure.  If we’re going to lead the world, we also have to invest in our people.  That’s what my Build Back Better Agenda does. ",enough invest physical infrastructure go lead world also invest people build back well agenda,POSITIVE,POSITIVE,NEUTRAL
6,1446960479147077634,2021-10-09 22:07:16+00:00,"While countries around the world invest in the care economy, the United States is standing still.   My Build Back Better Agenda will change that. https://t.co/WlSGJZUB0o",1672,8597,"While countries around the world invest in the care economy, the United States is standing still.   My Build Back Better Agenda will change that. https://t.co/WlSGJZUB0o ",country around world invest care economy united states stand still build back well agenda change,POSITIVE,POSITIVE,NEUTRAL
7,1446900053063389191,2021-10-09 18:07:09+00:00,"Folks, vaccination requirements work. https://t.co/XuBsOQxGaN",1615,10167,"Folks, vaccination requirements work. https://t.co/XuBsOQxGaN ",folk vaccination requirement work,NEUTRAL,NEUTRAL,NEUTRAL
8,1446876360052551683,2021-10-09 16:33:00+00:00,"Jobs up, wages up, unemployment down.   That’s progress.",8272,94125,"Jobs up, wages up, unemployment down.   That’s progress. ",job wage unemployment progress,NEGATIVE,NEUTRAL,NEUTRAL
9,1446861053074329602,2021-10-09 15:32:11+00:00,"Met another Joey this week, and as I told him: We’re going to get this pandemic under control – together. https://t.co/7PHD023TE1",1053,7533,"Met another Joey this week, and as I told him: We’re going to get this pandemic under control – together. https://t.co/7PHD023TE1 ",meet another joey week tell go get pandemic control together,POSITIVE,NEUTRAL,NEUTRAL
10,1446840878035869701,2021-10-09 14:12:00+00:00,"Thirty years ago, the US ranked 6th among advanced economies in the share of women working. Today we rank 23rd.   Millions of parents are feeling the squeeze – earning a paycheck while taking care of their children or aging parents.   My Build Back Better Agenda will change that.",4434,23860,"Thirty years ago, the US ranked 6th among advanced economies in the share of women working. Today we rank 23rd.   Millions of parents are feeling the squeeze – earning a paycheck while taking care of their children or aging parents.   My Build Back Better Agenda will change that. ",thirty year ago we rank among advanced economy share woman work today rank million parent feel squeeze earn paycheck take care child age parent build back well agenda change,NEGATIVE,POSITIVE,NEGATIVE
11,1446599404153081860,2021-10-08 22:12:29+00:00,"Today we learned that in my eight months in office, the economy has created nearly 5 million jobs — and unemployment is now the lowest it's been since March 2020.  But, we have more work to do — and I’m going to keep working every day to build back better for the American people. https://t.co/8zOK6sCcBP",2551,15517,"Today we learned that in my eight months in office, the economy has created nearly 5 million jobs — and unemployment is now the lowest it's been since March 2020.  But, we have more work to do — and I’m going to keep working every day to build back better for the American people. https://t.co/8zOK6sCcBP ",today learn eight month office economy create nearly million job unemployment low since march work go keep work every day build back well american people,NEUTRAL,NEGATIVE,POSITIVE
12,1446591092628066310,2021-10-08 21:39:27+00:00,"Thanks for the hard hat and vest, Clayco. And thanks for all that you and companies across America are doing to help us beat this pandemic. https://t.co/zkIWUJ0bZD",748,4562,"Thanks for the hard hat and vest, Clayco. And thanks for all that you and companies across America are doing to help us beat this pandemic. https://t.co/zkIWUJ0bZD ",thank hard hat vest clayco thank company across america help we beat pandemic,POSITIVE,POSITIVE,NEGATIVE
13,1446575309843804165,2021-10-08 20:36:44+00:00,"I’m keeping my campaign commitment.  We’re not going to raise taxes one penny on anyone making under $400,000 per year.  What we are going to do is have the wealthiest Americans and the biggest corporations finally pay their fair share.",6737,45991,"I’m keeping my campaign commitment.  We’re not going to raise taxes one penny on anyone making under $400,000 per year.  What we are going to do is have the wealthiest Americans and the biggest corporations finally pay their fair share. ",keep campaign commitment not go raise taxis one penny anyone make per year go wealthy americans big corporation finally pay fair share,NEGATIVE,POSITIVE,POSITIVE
