,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447563487299837952,2021-10-11 14:03:24+00:00,ようこそ黒原拓未投手！ 今、広島カープは左腕投手が充実しつつあります。 黒原投手には即戦力として、カープ投手王国の一翼を担っていただければと大きく期待を寄せております。 がんばれカープ！ https://t.co/RG613cPtX9,2671,9462,"Welcome black Haruka Takuzu! Now, Hiroshima Carp has a fulfillment of the left arm. Kureva Pitcher is expected to be greatly expected if you can play a one wing of the Carp pitcher as an immediate power. Good luck! https://t.co/RG613CPTX9 ",welcome black haruka takuzu hiroshima carp fulfillment leave arm kureva pitcher expect greatly expect play one wing carp pitcher immediate power good luck,POSITIVE,POSITIVE,POSITIVE
1,1447494934655819783,2021-10-11 09:31:00+00:00,本日11日(月) 22:00から、ワールドビジネスサテライトに生出演します。  「成長か分配か」ではなく「成長も分配も」が私の基本スタンスです。詳しくは番組でお伝えしますので、ぜひご覧ください。 https://t.co/jfr79aPTV2,755,4134,"From 22:00 today (Mon) 22:00, I will appear in World Business Satellite. ""Growth or distribution"" is not ""growth and distribution"" is my basic stance. Please see your program for more information. https://t.co/jfr79apTv2 ",today mon appear world business satellite growth distribution not growth distribution basic stance please see program information,NEGATIVE,POSITIVE,NEUTRAL
2,1447173424434991104,2021-10-10 12:13:26+00:00,今は新規感染者数が幸い抑えられており、国民の皆さまのご協力に感謝申し上げます。しかし、楽観視することなく最悪の事態を想定し、備えを進めなければなりません。本日説明していただいた新型コロナの経口治療薬、飲み薬は大きな決め手になり得ると考えています。しっかりと対応を続けてまいります。 https://t.co/gxF4HoyKgp,1260,9324,"Now, the number of new new infected people has been suppressed and thank you for your cooperation of the people. However, we must prepare for the worst case without optimistic. We believe that new corona oral therapeutic agents and medicines explained today can be a big decision. We will continue to respond firmly. https://t.co/gxf4hoykgp ",number new new infected people suppress thank cooperation people however must prepare bad case without optimistic believe new corona oral therapeutic agent medicine explain today big decision continue respond firmly,NEGATIVE,NEGATIVE,NEGATIVE
3,1446831312137039876,2021-10-09 13:34:00+00:00,テレビ生出演のお知らせ 明日10日(日) 7:30〜日曜報道 THE PRIME @THEPRIME_CX 「岸田首相が就任後初テレビ生出演！橋下徹と激論」に生出演します。  今後のコロナ対策、経済政策、外交政策について、私の考えを丁寧にお伝えしていければと思います。  ぜひご覧ください。 https://t.co/wGY0estFT1,461,2829,"Notice of Television Capacity Today Ten (Sun) 7: 30-Sunday Press The Prime @theprime_cx ""Prime Minister Kishida is the first television live appearance after appointing! I think I would like to carefully tell my thoughts on Corona, Economic Policy, Foreign Policy. Please take a look. https://t.co/WGY0ESTFT1 ",notice television capacity today ten sun sunday press prime prime minister kishida first television live appearance appoint think would like carefully tell thought corona economic policy foreign policy please take look,NEUTRAL,POSITIVE,POSITIVE
4,1446808092683878402,2021-10-09 12:01:44+00:00,コロナの重症者を受け入れている墨東病院への視察では、所信表明でお約束した #車座対話 も行いました。現場で働くお一人おひとりから声をお聞きし、受け止めた想いを形にしてまいります。 今後もできるだけ多く、様々な分野の現場に足を運び、車座対話を通して皆さまの声を政治に反映していきます。 https://t.co/lkPCbAL3EL,537,4124,"In the inspection of the Corona's severity, the inspection of the Koto Hospital for the Hodo Hospital also promised with the organization. We will ask you to hear the voice from one person who works in the field and you receive the thought. Going forward, we will carry your feet as many as possible, carry your feet in various fields, and reflect your voice in politics through a car seat interaction. https://t.co/lkpcbal3el ",inspection coronas severity inspection koto hospital hodo hospital also promise organization ask hear voice one person work field receive thought go forward carry foot many possible carry foot various field reflect voice politic car seat interaction,NEUTRAL,POSITIVE,POSITIVE
5,1446613375786569730,2021-10-08 23:08:00+00:00,明けない夜はありません。 国民の皆さんと共に手を取り合い、明日への一歩を踏み出します。一人ではなく仲間となら遥か遠くまで行くことができます。私は、みんなで前に進んで行くためのワンチームを創りあげます！ #チーム岸田 https://t.co/F9iZwnZ7rD,1141,9607,"There is no no night. Meet your hand with the people's people and take a step on tomorrow. If you are not alone, you can go far away. I will create one team to go ahead and go ahead! # Team Kishida https://t.co/F9IZWNZ7RD ",no no night meet hand people people take step tomorrow not alone go far away create one team go ahead go ahead team kishida,NEUTRAL,POSITIVE,POSITIVE
6,1446489486272053252,2021-10-08 14:55:42+00:00,昨晩の地震発生から1日が経ちました。夜を徹して状況確認、インフラ復旧、救助活動などに従事してくださった皆さま、帰宅困難の解消に向けご協力いただいた鉄道路線各社、タクシー事業者の皆さまに心から感謝申し上げます。  ・千葉県北西部を震源とする地震についてhttps://t.co/PxwHUVT5xv,726,5078,"One day has passed since the last night's earthquake. Thank you very much for your continued patronage, taxi company, and the taxi company, who helped to work on the night, infrastructure, rescue activities, etc. · About earthquakes with the northwestern part of Chiba Prefecture https://t.co/pxwhuvt5xv ",one day pass since last night earthquake thank much continue patronage taxi company taxi company help work night infrastructure rescue activity etc earthquake northwestern part chiba prefecture,POSITIVE,POSITIVE,POSITIVE
7,1446480622373859330,2021-10-08 14:20:29+00:00,"Thank you, PM Morawiecki @MorawieckiM for your kind words. I look forward to working with you in strengthening our bilateral relations and to realize a “Free and Open Indo-Pacific” as we further deepen our Japan-Poland Strategic Partnership. https://t.co/uEOQy1Obqi",115,846,"Thank you, PM Morawiecki @MorawieckiM for your kind words. I look forward to working with you in strengthening our bilateral relations and to realize a “Free and Open Indo-Pacific” as we further deepen our Japan-Poland Strategic Partnership. https://t.co/uEOQy1Obqi ",thank pm morawiecki kind word look forward work strengthen bilateral relation realize free open indo pacific deepen japan poland strategic partnership,POSITIVE,POSITIVE,POSITIVE
8,1446480374117244935,2021-10-08 14:19:30+00:00,"Expreso mi más sincero agradecimiento por el cordial mensaje del Señor Presidente, @luisabinader. Quisiera seguir manteniendo una estrecha colaboración con usted en aras de fortalecer aún más los lazos de amistad entre Japón y la República Dominicana. https://t.co/mKwcaqCt2K",105,677,"I express my sincere gratitude for the cordial message of Mr. President, @Luisabinader. I would like to continue maintaining a close collaboration with you for the sake of further strengthening the bonds of friendship between Japan and the Dominican Republic. https://t.co/mkwcaqct2k. ",express sincere gratitude cordial message mr president would like continue maintain close collaboration sake strengthen bond friendship japan dominican republic,POSITIVE,POSITIVE,POSITIVE
9,1446480050065268736,2021-10-08 14:18:12+00:00,"Let me convey my heartfelt gratitude to you. Japan is looking forward to collaborating with @UNDP on issues such as COVID-19, TICAD, and human security. https://t.co/JNRB10GR0X",100,614,"Let me convey my heartfelt gratitude to you. Japan is looking forward to collaborating with @UNDP on issues such as COVID-19, TICAD, and human security. https://t.co/JNRB10GR0X ",let convey heartfelt gratitude japan look forward collaborate issue covid ticad human security,POSITIVE,POSITIVE,NEUTRAL
10,1446479482253049860,2021-10-08 14:15:57+00:00,Thank you so much @SherBDeuba for your warm congratulations. Look forward to working together with you to further develop our traditional ties of friendship between Japan and Nepal. https://t.co/L13p0sXF3L,98,701,Thank you so much @SherBDeuba for your warm congratulations. Look forward to working together with you to further develop our traditional ties of friendship between Japan and Nepal. https://t.co/L13p0sXF3L ,thank much warm congratulation look forward work together develop traditional tie friendship japan nepal,POSITIVE,POSITIVE,POSITIVE
11,1446478872426409984,2021-10-08 14:13:32+00:00,Warm thanks to PM Morrison of Australia. Had a great discussion during video meeting on October 5. Look forward to working together with ScoMo to further deepen our Special Strategic Partnership and to promote a “Free and Open Indo-Pacific”. https://t.co/yuHf4vKumK,119,797,Warm thanks to PM Morrison of Australia. Had a great discussion during video meeting on October 5. Look forward to working together with ScoMo to further deepen our Special Strategic Partnership and to promote a “Free and Open Indo-Pacific”. https://t.co/yuHf4vKumK ,warm thank pm morrison australia great discussion video meeting october look forward work together scomo deepen special strategic partnership promote free open indo pacific,POSITIVE,POSITIVE,POSITIVE
12,1446478443151904770,2021-10-08 14:11:49+00:00,"Thank you, @DrTedros for your message. will continue to work closely with @WHO to respond to COVID-19 and to achieve #UHC. I look forward to working closely with you and @WHO in addressing global health issues. https://t.co/bszQpK25Mq",127,717,"Thank you, @DrTedros for your message. will continue to work closely with @WHO to respond to COVID-19 and to achieve #UHC. I look forward to working closely with you and @WHO in addressing global health issues. https://t.co/bszQpK25Mq ",thank message continue work closely respond covid achieve look forward work closely address global health issue,POSITIVE,POSITIVE,NEUTRAL
13,1446478089538576389,2021-10-08 14:10:25+00:00,"Expreso mi más sincero agradecimiento por el cordial mensaje del Señor Presidente, @IvanDuque. De aquí en adelante, quisiera mantener una estrecha colaboración con usted en aras de fortalecer aún más los lazos de amistad entre Japón y Colombia. https://t.co/O0ogtuYuSs",142,810,"I express my sincere gratitude for the cordial message of Mr. President, @IVanduque. From now on, I would like to keep a close collaboration with you in order to further strengthen the bonds of friendship between Japan and Colombia. https://t.co/o0ggtuyuss. ",express sincere gratitude cordial message mr president would like keep close collaboration order strengthen bond friendship japan colombia,POSITIVE,POSITIVE,POSITIVE
14,1446477769529966595,2021-10-08 14:09:09+00:00,"Thank you, President @ZelenskyyUa, for your kind message on my appointment. Japan will continue to develop our bilateral relations with Ukraine as we look forward to the 30th anniversary of our diplomatic relations next year, while also supporting Ukraine’s reform efforts. https://t.co/zIHvACFyfg",111,687,"Thank you, President @ZelenskyyUa, for your kind message on my appointment. Japan will continue to develop our bilateral relations with Ukraine as we look forward to the 30th anniversary of our diplomatic relations next year, while also supporting Ukraine’s reform efforts. https://t.co/zIHvACFyfg ",thank president kind message appointment japan continue develop bilateral relation ukraine look forward anniversary diplomatic relation next year also support ukraine reform effort,POSITIVE,POSITIVE,POSITIVE
15,1446476913325658114,2021-10-08 14:05:45+00:00,Thank you @JustinTrudeau. Japan and Canada are important partners in the Indo-Pacific region. I look forward to working together with you to further promote cooperation between our two counties. https://t.co/RnwvMVWhcX,124,842,Thank you @JustinTrudeau. Japan and Canada are important partners in the Indo-Pacific region. I look forward to working together with you to further promote cooperation between our two counties. https://t.co/RnwvMVWhcX ,thank japan canada important partner indo pacific region look forward work together promote cooperation two county,POSITIVE,POSITIVE,POSITIVE
