,id,created_at,text,rt_count,fav_count,english,cleaned_text,zeroshot_sentiment,vader_sentiment,blob_sentiment
0,1447547812556812297,2021-10-11 13:01:07+00:00,Ciencia para transformar el país. Esa es la apuesta del Gobierno. Hoy aprobamos en #CMin un importante paquete de medidas con más ayudas a la investigación y más oportunidades para jóvenes investigadores. 522 millones para seguir fortaleciendo nuestro sistema científico público. https://t.co/qYZbnZIwwN,293,730,Science to transform the country. That is the Government's commitment. Today we approve in #cmin an important package of measures with more research aid and more opportunities for young researchers. 522 million to continue strengthening our public scientific system. https://t.co/qyzbnziwwn. ,science transform country government commitment today approve important package measure research aid opportunitie young researcher million continue strengthen public scientific system,POSITIVE,POSITIVE,POSITIVE
1,1447465950559850499,2021-10-11 07:35:49+00:00,"Sin ellas, ninguna sociedad avanza. Situar los derechos de las niñas en el centro de nuestra acción, promover su empoderamiento, asegurarles una vida en plena igualdad es una obligación. Su futuro depende de lo que hagamos ahora. No hay tiempo que perder. #DíaDeLaNiña https://t.co/Cn9RapWfOz",404,1199,"Without them, no society advances. Placing the rights of girls at the center of our action, promoting its empowerment, ensuring a life in full equality is an obligation. Your future depends on what we do now. There is no time to lose. # Díadelaniña https://t.co/cn9rapwfoz ",without no society advance place right girls center action promote empowerment ensure life full equality obligation future depend no time lose adelani,POSITIVE,POSITIVE,POSITIVE
2,1447160601126608896,2021-10-10 11:22:28+00:00,"En política, como en la vida, todo es elección. Los y las socialistas hace mucho que optamos por la recuperación, el avance y la política como instrumento útil para mejorar la vida de la gente. Es un orgullo ser presidente del Gobierno de España y Secretario General del @PSOE https://t.co/tbSc4UZdGX",388,1161,"In politics, as in life, everything is election. Socialists have long been opted for recovery, progress and politics as a useful tool to improve people's lives. It is a pride to be president of the Government of Spain and General Secretary of the @psoe https://t.co/tbsc4uzdgx ",politic life everything election socialists long opt recovery progress politic useful tool improve people live pride president government spain general secretary,POSITIVE,POSITIVE,POSITIVE
3,1447157289866121220,2021-10-10 11:09:19+00:00,"Cuando gobierna el @PSOE siempre estamos al lado de las personas más desfavorecidas. Somos el partido que ha puesto en marcha las grandes transformaciones. En el #40Congreso reivindicaremos nuestro pasado, presente y futuro. Hoy estamos donde estamos gracias a toda la militancia. https://t.co/JgvRSxQVNs",419,1088,"When the @psoe governs we are always next to the most disadvantaged people. We are the party that has launched the great transformations. In the # 40 Congress we will vinday our past, present and future. Today we are where we are thanks to all the militancy. https://t.co/jgvrsxqvns. ",govern always next disadvantaged people party launch great transformation congress vinday past present future today thank militancy,POSITIVE,POSITIVE,POSITIVE
4,1447127675722678281,2021-10-10 09:11:38+00:00,"¡Ya estamos en #Ponferrada! Junto a los compañeros y compañeras de @PSOE_CyL para hablar de la España que avanza.  Os espero, con @luistudanca, @Nuri_Rubio y @alfonsocendon, a partir de las 11:30 h. En directo➡️ https://t.co/koefviMOOk  #EspañaAvanza_ https://t.co/zUclpXpNti",133,346,"We are already in #Ponferrada! Along with the companions and companions of @psoe_cyl to talk about the Spain that advances. I hope, with @luistudanca, @nuri_rubio and @alfonsocendon, starting at 11:30 h. LIVE➡️ https://t.co/koefvimook # Spainavanza_ https://t.co/zuclpxpnti ",already along companion companion talk spain advance hope start h live spainavanza,POSITIVE,POSITIVE,POSITIVE
5,1447108428132925447,2021-10-10 07:55:09+00:00,Más de 300 millones de personas viven con depresión; cerca de 800.000 se suicidan al año. Las cifras de la #SaludMental crecen imparables y ningún gobierno puede permanecer inmóvil. Concienciación y recursos. Solo así podemos afrontar este reto global. #DíaMundialdelaSaludMental,1097,3894,"More than 300 million people live with depression; About 800,000 commit suicide per year. The figures of the #Saludmental grow unstoppable and no government can remain motionless. Awareness and resources. Only then can we face this global challenge. # DiamundialDelaSaludmental ",million people live depression commit suicide per year figure grow unstoppable no government remain motionless awareness resource face global challenge diamundialdelasaludmental,NEGATIVE,NEGATIVE,POSITIVE
6,1446794066759323648,2021-10-09 11:06:00+00:00,Presentamos un Plan de Acción en #SaludMental. Con una dotación de 100 millones y acciones consensuadas. Vamos a incorporar la especialidad de psiquiatría infantil y adolescente a la Formación Sanitaria Especializada y a activar un teléfono 24h. de apoyo ante conductas suicidas. https://t.co/wnW3FfnBqW,661,1663,We present an action plan in #Saludmental. With an endowment of 100 million and consensual actions. We are going to incorporate the specialty of children's and adolescent psychiatry to specialized health training and activate a 24h phone. Support for suicidal behaviors. https://t.co/wnw3ffnbqw. ,present action plan endowment million consensual action go incorporate specialty children adolescent psychiatry specialize health training activate phone support suicidal behavior,NEUTRAL,NEGATIVE,POSITIVE
7,1446791380995563525,2021-10-09 10:55:19+00:00,"El 10,8% de las y los españoles han consumido tranquilizantes, relajantes o pastillas para dormir. Esto dice mucho del problema que tenemos en nuestra sociedad con la #SaludMental. No podemos normalizarlo. Debemos dar respuesta a este asunto y analizar las causas y el origen. https://t.co/WQe1JkP20D",700,2227,"10.8% of Spanish and Spaniards have consumed tranquilizers, relaxing or sleeping pills. This says a lot about the problem we have in our society with the #Saludmental. We can not normalize it. We must respond to this matter and analyze the causes and origin. https://t.co/wqe1jkp20d. ",spanish spaniard consume tranquilizer relax sleeping pill say lot problem society not normalize must respond matter analyze cause origin,NEGATIVE,POSITIVE,NEUTRAL
8,1446732193062129667,2021-10-09 07:00:08+00:00,"¡Feliç dia a tots els valencians i valencianes!   La Comunidad Valenciana es tierra de igualdad, inclusión, solidaridad y progreso. Valores que nos unen a toda la sociedad y que nos harán seguir avanzando hacia el mejor futuro posible.   ¡Bon Nou d'Octubre! #9Octubre https://t.co/VHHYvs9d7N",407,1880,"Feliç Dia A Tots Els Valencians I Valencian! The Valencian Community is a land of equality, inclusion, solidarity and progress. Values that unite us all society and that will make us continue advancing towards the best possible future. Bon Nou d'October! # 9toctubre https://t.co/vhhyvs9d7n. ",feli dia tot el valencians valencian valencian community land equality inclusion solidarity progress value unite we society make we continue advance towards good possible future bon nou doctober,POSITIVE,POSITIVE,POSITIVE
9,1446538797269889030,2021-10-08 18:11:39+00:00,"Es una magnífica noticia que 136 países de la OCDE, el 90% del PIB mundial, hayamos alcanzado un acuerdo para reformar el sistema fiscal global.  No hay duda: una fiscalidad más justa es ahora más necesaria que nunca para avanzar en justicia social. https://t.co/7jQL21aijW",543,1561,"It is a magnificent news that 136 OECD countries, 90% of world GDP, we have reached an agreement to reform the global fiscal system. There is no doubt: a fairer taxation is now more necessary than ever to advance in social justice. https://t.co/7jql21aijw. ",magnificent news oecd country world gdp reach agreement reform global fiscal system no doubt fair taxation necessary ever advance social justice,POSITIVE,POSITIVE,POSITIVE
